number	plate_info	length_px	scale_px_mm	seedling	genotype	KNO3	plate	lateralRoots
4	SC68_WT10mM_001.tif:1603-2534	983.689	23.3	seedling4	Col0_WT	10mM	plate1	10
5	SC68_WT10mM_001.tif:1618-2789	1023.952	23.3	seedling5	Col0_WT	10mM	plate1	6
6	SC68_WT10mM_001.tif:1666-3098	1027.857	23.3	seedling6	Col0_WT	10mM	plate1	6
7	SC68_WT10mM_001.tif:1767-3635	1193.781	23.3	seedling7	Col0_WT	10mM	plate1	10
1	SC68_WT10mM_001.tif:4752-1688	1226.229	23.3	seedling8	Col0_WT	10mM	plate2	10
2	SC68_WT10mM_001.tif:4668-1914	1090.656	23.3	seedling9	Col0_WT	10mM	plate2	7
3	SC68_WT10mM_001.tif:4678-2181	1071.941	23.3	seedling10	Col0_WT	10mM	plate2	7
4	SC68_WT10mM_001.tif:4706-2470	1153.575	23.3	seedling11	Col0_WT	10mM	plate2	8
5	SC68_WT10mM_001.tif:4759-2735	1217.307	23.3	seedling12	Col0_WT	10mM	plate2	11
6	SC68_WT10mM_001.tif:4698-3371	1092.922	23.3	seedling13	Col0_WT	10mM	plate2	9
7	SC68_WT10mM_001.tif:4670-3590	1032.389	23.3	seedling14	Col0_WT	10mM	plate2	10
1	SC68_WT10mM_002.tif:1561-1518	994.818	23.3	seedling15	Col0_WT	10mM	plate3	4
2	SC68_WT10mM_002.tif:1624-1745	1074.385	23.3	seedling16	Col0_WT	10mM	plate3	9
3	SC68_WT10mM_002.tif:1676-2061	1173.814	23.3	seedling17	Col0_WT	10mM	plate3	13
4	SC68_WT10mM_002.tif:1669-2958	1196.08	23.3	seedling18	Col0_WT	10mM	plate3	11
5	SC68_WT10mM_002.tif:1659-3239	1105.427	23.3	seedling19	Col0_WT	10mM	plate3	11
6	SC68_WT10mM_002.tif:1635-3449	1066.945	23.3	seedling20	Col0_WT	10mM	plate3	9
1	SC68_WT10mM_002.tif:4595-2086	1072.796	23.3	seedling21	Col0_WT	10mM	plate4	7
2	SC68_WT10mM_002.tif:4663-2415	1150.997	23.3	seedling22	Col0_WT	10mM	plate4	8
3	SC68_WT10mM_002.tif:4641-2672	1214.499	23.3	seedling23	Col0_WT	10mM	plate4	10
4	SC68_WT10mM_002.tif:4666-2957	1217.489	23.3	seedling24	Col0_WT	10mM	plate4	11
5	SC68_WT10mM_002.tif:4576-3221	1136.063	23.3	seedling25	Col0_WT	10mM	plate4	10
6	SC68_WT10mM_002.tif:4474-3528	908.984	23.3	seedling26	Col0_WT	10mM	plate4	3
