number	plate_info	area	mean	IntDen	median	RawIntDen	slice	length	seedling	genotype	KNO3	plate
9	plate2_35s_1mM_luc.tif:0068-0162	1632	284.188	463795.473	284.179	463795.473	1	203	background	35s:luc	1mM	plate2
10	plate2_35s_1mM_luc.tif:0325-0384	1536	285.508	438540.11	285.538	438540.11	1	191	background	35s:luc	1mM	plate2
11	plate2_35s_1mM_luc.tif:0185-0263	1296	285.776	370365.697	285.784	370365.697	1	161	background	35s:luc	1mM	plate2
1	plate3_35s_1mM_luc.tif:0182-0076	1320	360.089	475316.882	315.909	475316.882	1	163.97	seedling17	35s:luc	1mM	plate3
2	plate3_35s_1mM_luc.tif:0183-0117	1344	359.735	483484.061	314.403	483484.061	1	166.987	seedling18	35s:luc	1mM	plate3
3	plate3_35s_1mM_luc.tif:0183-0169	1320	359.892	475057.955	314.324	475057.955	1	163.97	seedling19	35s:luc	1mM	plate3
4	plate3_35s_1mM_luc.tif:0183-0233	1344	368.023	494622.645	319.358	494622.645	1	166.973	seedling20	35s:luc	1mM	plate3
5	plate3_35s_1mM_luc.tif:0190-0294	1312	346.363	454427.836	311.68	454427.836	1	162.973	seedling21	35s:luc	1mM	plate3
6	plate3_35s_1mM_luc.tif:0189-0362	1256	348.877	438189.298	316.478	438189.298	1	155.979	seedling22	35s:luc	1mM	plate3
7	plate3_35s_1mM_luc.tif:0187-0407	1248	347.287	433413.58	315.234	433413.58	1	154.967	seedling23	35s:luc	1mM	plate3
8	plate3_35s_1mM_luc.tif:0196-0462	1408	341.773	481216.289	313.567	481216.289	1	174.983	seedling24	35s:luc	1mM	plate3
9	plate3_35s_1mM_luc.tif:0080-0341	1624	284.589	462173.328	284.593	462173.328	1	202	background	35s:luc	1mM	plate3
10	plate3_35s_1mM_luc.tif:0301-0165	1536	284.911	437623.932	284.887	437623.932	1	191	background	35s:luc	1mM	plate3
11	plate3_35s_1mM_luc.tif:0181-0267	1272	285.398	363026.579	285.347	363026.579	1	157.999	background	35s:luc	1mM	plate3
1	plate4_35s_1mM_luc.tif:0199-0065	1240	347.102	430407.091	306.034	430407.091	1	153.982	seedling25	35s:luc	1mM	plate4
2	plate4_35s_1mM_luc.tif:0203-0107	1344	348.685	468632.615	312.797	468632.615	1	166.962	seedling26	35s:luc	1mM	plate4
3	plate4_35s_1mM_luc.tif:0188-0174	1104	339.154	374426.55	309.088	374426.55	1	136.973	seedling27	35s:luc	1mM	plate4
4	plate4_35s_1mM_luc.tif:0194-0236	1184	351.61	416306.287	312.44	416306.287	1	146.965	seedling28	35s:luc	1mM	plate4
5	plate4_35s_1mM_luc.tif:0202-0291	1256	356.409	447649.426	315.306	447649.426	1	155.98	seedling29	35s:luc	1mM	plate4
6	plate4_35s_1mM_luc.tif:0211-0354	1352	355.699	480905.576	319.494	480905.576	1	167.988	seedling30	35s:luc	1mM	plate4
7	plate4_35s_1mM_luc.tif:0203-0414	1232	344.707	424679.344	312.333	424679.344	1	152.976	seedling31	35s:luc	1mM	plate4
8	plate4_35s_1mM_luc.tif:0209-0466	1344	342.842	460779.573	312.618	460779.573	1	166.972	seedling32	35s:luc	1mM	plate4
9	plate4_35s_1mM_luc.tif:0091-0177	1648	283.213	466734.719	283.167	466734.719	1	205	background	35s:luc	1mM	plate4
10	plate4_35s_1mM_luc.tif:0323-0349	1656	284.245	470710.135	284.253	470710.135	1	206	background	35s:luc	1mM	plate4
11	plate4_35s_1mM_luc.tif:0197-0260	1168	284.512	332310.157	284.58	332310.157	1	145	background	35s:luc	1mM	plate4
1	plate1_35s_10mM_luc.tif:0188-0067	1088	350.697	381558.724	301.844	381558.724	1	134.984	seedling1	35s:luc	10mM	plate1
2	plate1_35s_10mM_luc.tif:0172-0121	864	351.247	303477.827	298.465	303477.827	1	106.997	seedling2	35s:luc	10mM	plate1
3	plate1_35s_10mM_luc.tif:0187-0184	1072	355.707	381317.922	305.296	381317.922	1	132.975	seedling3	35s:luc	10mM	plate1
4	plate1_35s_10mM_luc.tif:0186-0238	1056	362.017	382289.94	305.893	382289.94	1	130.981	seedling4	35s:luc	10mM	plate1
5	plate1_35s_10mM_luc.tif:0174-0300	968	352.153	340883.845	303.297	340883.845	1	119.973	seedling5	35s:luc	10mM	plate1
6	plate1_35s_10mM_luc.tif:0174-0352	904	352.366	318539.16	301.989	318539.16	1	111.984	seedling6	35s:luc	10mM	plate1
7	plate1_35s_10mM_luc.tif:0191-0420	1184	364.935	432083.077	311.492	432083.077	1	146.921	seedling7	35s:luc	10mM	plate1
8	plate1_35s_10mM_luc.tif:0190-0468	1104	363.059	400817.25	312.683	400817.25	1	136.988	seedling8	35s:luc	10mM	plate1
9	plate1_35s_10mM_luc.tif:0095-0115	1216	283.671	344944.115	283.712	344944.115	1	151	background	35s:luc	10mM	plate1
10	plate1_35s_10mM_luc.tif:0283-0325	1272	285.049	362582.899	285.006	362582.899	1	158	background	35s:luc	10mM	plate1
11	plate1_35s_10mM_luc.tif:0185-0208	880	285.21	250984.718	285.175	250984.718	1	108.999	background	35s:luc	10mM	plate1
1	plate2_35s_10mM_luc.tif:0204-0053	1336	348.903	466133.813	301.965	466133.813	1	165.982	seedling9	35s:luc	10mM	plate2
2	plate2_35s_10mM_luc.tif:0208-0105	1272	358.238	455679.2	308.865	455679.2	1	157.992	seedling10	35s:luc	10mM	plate2
3	plate2_35s_10mM_luc.tif:0189-0140	1056	338.219	357158.762	302.876	357158.762	1	130.982	seedling11	35s:luc	10mM	plate2
4	plate2_35s_10mM_luc.tif:0212-0216	1488	376.655	560462.233	317.759	560462.233	1	184.968	seedling12	35s:luc	10mM	plate2
5	plate2_35s_10mM_luc.tif:0195-0285	1240	367.448	455634.985	310.265	455634.985	1	153.977	seedling13	35s:luc	10mM	plate2
6	plate2_35s_10mM_luc.tif:0191-0335	1136	374.703	425662.293	309.793	425662.293	1	140.971	seedling14	35s:luc	10mM	plate2
7	plate2_35s_10mM_luc.tif:0194-0388	1128	364.173	410787.477	308.945	410787.477	1	139.986	seedling15	35s:luc	10mM	plate2
8	plate2_35s_10mM_luc.tif:0202-0459	1288	354.995	457233.44	311.857	457233.44	1	159.937	seedling16	35s:luc	10mM	plate2
9	plate2_35s_10mM_luc.tif:0096-0139	1536	283.985	436200.92	283.995	436200.92	1	191	background	35s:luc	10mM	plate2
10	plate2_35s_10mM_luc.tif:0309-0368	1264	285.624	361029.267	285.639	361029.267	1	157	background	35s:luc	10mM	plate2
11	plate2_35s_10mM_luc.tif:0197-0175	1088	285.359	310470.888	285.366	310470.888	1	135	background	35s:luc	10mM	plate2
1	plate3_35s_10mM_luc.tif:0220-0051	1440	351.766	506542.625	303.685	506542.625	1	178.973	seedling17	35s:luc	10mM	plate3
2	plate3_35s_10mM_luc.tif:0206-0116	1304	354.787	462642.105	308.738	462642.105	1	161.973	seedling18	35s:luc	10mM	plate3
3	plate3_35s_10mM_luc.tif:0208-0169	1264	357.938	452433.12	308.631	452433.12	1	156.967	seedling19	35s:luc	10mM	plate3
4	plate3_35s_10mM_luc.tif:0212-0241	1288	363.436	468105.406	305.562	468105.406	1	159.965	seedling20	35s:luc	10mM	plate3
5	plate3_35s_10mM_luc.tif:0212-0293	1192	367.338	437866.676	309.747	437866.676	1	147.955	seedling21	35s:luc	10mM	plate3
6	plate3_35s_10mM_luc.tif:0225-0354	1480	360.364	533338.545	314.495	533338.545	1	183.985	seedling22	35s:luc	10mM	plate3
7	plate3_35s_10mM_luc.tif:0223-0406	1496	360.236	538912.821	313.527	538912.821	1	185.953	seedling23	35s:luc	10mM	plate3
8	plate3_35s_10mM_luc.tif:0223-0456	1384	355.992	492693.311	310.578	492693.311	1	171.97	seedling24	35s:luc	10mM	plate3
9	plate3_35s_10mM_luc.tif:0098-0176	1448	282.321	408800.616	282.263	408800.616	1	180	background	35s:luc	10mM	plate3
10	plate3_35s_10mM_luc.tif:0349-0385	1184	283.903	336141.539	283.914	336141.539	1	147	background	35s:luc	10mM	plate3
11	plate3_35s_10mM_luc.tif:0202-0266	1144	283.969	324860.141	283.962	324860.141	1	142	background	35s:luc	10mM	plate3
1	plate4_35s_10mM_luc.tif:0213-0060	1408	352.238	495950.488	302.217	495950.488	1	174.989	seedling25	35s:luc	10mM	plate4
2	plate4_35s_10mM_luc.tif:0208-0112	1272	364.817	464047.098	311.229	464047.098	1	157.978	seedling26	35s:luc	10mM	plate4
3	plate4_35s_10mM_luc.tif:0213-0168	1328	365.687	485632.479	313.669	485632.479	1	164.964	seedling27	35s:luc	10mM	plate4
4	plate4_35s_10mM_luc.tif:0204-0222	1176	377.539	443985.411	308.299	443985.411	1	145.963	seedling28	35s:luc	10mM	plate4
5	plate4_35s_10mM_luc.tif:0208-0273	1208	372.168	449578.785	314.351	449578.785	1	149.979	seedling29	35s:luc	10mM	plate4
6	plate4_35s_10mM_luc.tif:0208-0353	1304	372.452	485676.992	311.784	485676.992	1	161.962	seedling30	35s:luc	10mM	plate4
7	plate4_35s_10mM_luc.tif:0208-0399	1232	373.381	460005.125	312.324	460005.125	1	152.972	seedling31	35s:luc	10mM	plate4
8	plate4_35s_10mM_luc.tif:0196-0452	944	343.081	323868.497	303.882	323868.497	1	116.987	seedling32	35s:luc	10mM	plate4
9	plate4_35s_10mM_luc.tif:0101-0362	1456	283.604	412927.771	283.58	412927.771	1	181	background	35s:luc	10mM	plate4
10	plate4_35s_10mM_luc.tif:0340-0156	1288	284.75	366757.946	284.77	366757.946	1	160	background	35s:luc	10mM	plate4
11	plate4_35s_10mM_luc.tif:0205-0251	1072	285.684	306253.353	285.687	306253.353	1	132.996	background	35s:luc	10mM	plate4
1	plate1_nrt21_1mM_luc.tif:0214-0045	1360	302.235	411039.246	286.785	411039.246	1	168.957	seedling1	NRT2.1:luc	1mM	plate1
2	plate1_nrt21_1mM_luc.tif:0223-0105	1384	303.713	420338.452	287.882	420338.452	1	171.993	seedling2	NRT2.1:luc	1mM	plate1
3	plate1_nrt21_1mM_luc.tif:0226-0156	1416	294.451	416942.376	287.319	416942.376	1	175.993	seedling3	NRT2.1:luc	1mM	plate1
6	plate1_nrt21_1mM_luc.tif:0229-0327	1352	292.47	395419.469	286.678	395419.469	1	167.974	seedling6	NRT2.1:luc	1mM	plate1
7	plate1_nrt21_1mM_luc.tif:0227-0385	1264	298.15	376861.982	289.13	376861.982	1	156.995	seedling7	NRT2.1:luc	1mM	plate1
8	plate1_nrt21_1mM_luc.tif:0221-0447	1184	291.124	344690.513	286.364	344690.513	1	146.997	seedling8	NRT2.1:luc	1mM	plate1
9	plate1_nrt21_1mM_luc.tif:0095-0149	1496	281.568	421225.634	281.584	421225.634	1	186	background	NRT2.1:luc	1mM	plate1
10	plate1_nrt21_1mM_luc.tif:0330-0369	1344	281.882	378848.864	281.928	378848.864	1	167	background	NRT2.1:luc	1mM	plate1
11	plate1_nrt21_1mM_luc.tif:0217-0235	1176	281.72	331302.367	281.812	331302.367	1	146	background	NRT2.1:luc	1mM	plate1
1	plate2_nrt21_1mM_luc.tif:0184-0047	1160	290.245	336684.618	284.869	336684.618	1	143.987	seedling9	NRT2.1:luc	1mM	plate2
2	plate2_nrt21_1mM_luc.tif:0182-0100	1160	291.172	337760.017	286.211	337760.017	1	143.997	seedling10	NRT2.1:luc	1mM	plate2
3	plate2_nrt21_1mM_luc.tif:0192-0150	1304	298.078	388694.147	288.855	388694.147	1	161.96	seedling11	NRT2.1:luc	1mM	plate2
4	plate2_nrt21_1mM_luc.tif:0196-0219	1312	314.503	412628.344	297.78	412628.344	1	162.974	seedling12	NRT2.1:luc	1mM	plate2
5	plate2_nrt21_1mM_luc.tif:0198-0277	1288	305.786	393852.799	294.021	393852.799	1	159.979	seedling13	NRT2.1:luc	1mM	plate2
6	plate2_nrt21_1mM_luc.tif:0197-0326	1304	313.394	408665.353	297.746	408665.353	1	161.966	seedling14	NRT2.1:luc	1mM	plate2
7	plate2_nrt21_1mM_luc.tif:0204-0439	1272	291.33	370571.853	286.546	370571.853	1	157.986	seedling16	NRT2.1:luc	1mM	plate2
8	plate2_nrt21_1mM_luc.tif:0079-0146	1272	281.988	358689.207	282.01	358689.207	1	158	background	NRT2.1:luc	1mM	plate2
9	plate2_nrt21_1mM_luc.tif:0304-0331	1080	282.258	304839.145	282.13	304839.145	1	134	background	NRT2.1:luc	1mM	plate2
10	plate2_nrt21_1mM_luc.tif:0197-0244	1200	282.541	339049.035	282.523	339049.035	1	149	background	NRT2.1:luc	1mM	plate2
1	plate3_nrt21_1mM_luc.tif:0206-0039	1152	294.515	339281.817	285.214	339281.817	1	142.981	seedling17	NRT2.1:luc	1mM	plate3
2	plate3_nrt21_1mM_luc.tif:0198-0093	976	285.15	278305.966	284.079	278305.966	1	120.987	seedling18	NRT2.1:luc	1mM	plate3
3	plate3_nrt21_1mM_luc.tif:0209-0149	1176	301.121	354118.674	290.314	354118.674	1	145.989	seedling19	NRT2.1:luc	1mM	plate3
4	plate3_nrt21_1mM_luc.tif:0224-0194	1464	307.806	450628.558	291.172	450628.558	1	181.993	seedling20	NRT2.1:luc	1mM	plate3
5	plate3_nrt21_1mM_luc.tif:0193-0263	1040	288.02	299540.572	286.25	299540.572	1	128.984	seedling21	NRT2.1:luc	1mM	plate3
6	plate3_nrt21_1mM_luc.tif:0225-0313	1416	300.437	425419.373	290.097	425419.373	1	175.994	seedling22	NRT2.1:luc	1mM	plate3
7	plate3_nrt21_1mM_luc.tif:0209-0379	1136	287.036	326073.278	285.289	326073.278	1	140.992	seedling23	NRT2.1:luc	1mM	plate3
8	plate3_nrt21_1mM_luc.tif:0203-0428	984	283.67	279131.112	283.049	279131.112	1	121.997	seedling24	NRT2.1:luc	1mM	plate3
9	plate3_nrt21_1mM_luc.tif:0336-0149	1568	281.99	442160.144	281.971	442160.144	1	195	background	NRT2.1:luc	1mM	plate3
10	plate3_nrt21_1mM_luc.tif:0108-0379	1216	281.898	342787.839	281.925	342787.839	1	151	background	NRT2.1:luc	1mM	plate3
11	plate3_nrt21_1mM_luc.tif:0223-0244	1264	282.224	356730.701	282.241	356730.701	1	157	background	NRT2.1:luc	1mM	plate3
1	plate4_nrt21_1mM_luc.tif:0206-0043	1272	295.981	376487.57	285.167	376487.57	1	157.992	seedling25	NRT2.1:luc	1mM	plate4
2	plate4_nrt21_1mM_luc.tif:0203-0106	1264	296.51	374789.19	287.563	374789.19	1	156.986	seedling26	NRT2.1:luc	1mM	plate4
3	plate4_nrt21_1mM_luc.tif:0215-0152	1360	299.213	406929.143	290.774	406929.143	1	168.977	seedling27	NRT2.1:luc	1mM	plate4
4	plate4_nrt21_1mM_luc.tif:0217-0213	1312	296.495	389001.182	287.298	389001.182	1	162.991	seedling28	NRT2.1:luc	1mM	plate4
5	plate4_nrt21_1mM_luc.tif:0212-0268	1320	297.581	392806.303	287.756	392806.303	1	163.991	seedling29	NRT2.1:luc	1mM	plate4
6	plate4_nrt21_1mM_luc.tif:0228-0341	1392	302.145	420586.516	288.375	420586.516	1	172.995	seedling30	NRT2.1:luc	1mM	plate4
7	plate4_nrt21_1mM_luc.tif:0206-0396	1048	282.54	296102.349	282.063	296102.349	1	129.999	seedling31	NRT2.1:luc	1mM	plate4
8	plate4_nrt21_1mM_luc.tif:0216-0445	1112	284.883	316790.32	283.646	316790.32	1	137.999	seedling32	NRT2.1:luc	1mM	plate4
9	plate4_nrt21_1mM_luc.tif:0086-0168	1224	280.528	343365.753	280.511	343365.753	1	152	background	NRT2.1:luc	1mM	plate4
10	plate4_nrt21_1mM_luc.tif:0335-0350	1280	280.771	359387.323	280.781	359387.323	1	159	background	NRT2.1:luc	1mM	plate4
11	plate4_nrt21_1mM_luc.tif:0216-0180	1096	280.882	307847.084	280.85	307847.084	1	136	background	NRT2.1:luc	1mM	plate4
1	plate1_nrt21_10mM_luc.tif:0195-0065	1408	291.926	411031.85	284.713	411031.85	1	174.984	seedling1	NRT2.1:luc	10mM	plate1
2	plate1_nrt21_10mM_luc.tif:0187-0126	1344	290.158	389971.883	284.409	389971.883	1	166.985	seedling2	NRT2.1:luc	10mM	plate1
3	plate1_nrt21_10mM_luc.tif:0192-0176	1280	285.057	364872.749	283.619	364872.749	1	158.987	seedling3	NRT2.1:luc	10mM	plate1
4	plate1_nrt21_10mM_luc.tif:0191-0236	1288	290.859	374625.985	284.964	374625.985	1	159.978	seedling4	NRT2.1:luc	10mM	plate1
5	plate1_nrt21_10mM_luc.tif:0209-0288	1432	289.946	415202.284	284.125	415202.284	1	177.991	seedling5	NRT2.1:luc	10mM	plate1
6	plate1_nrt21_10mM_luc.tif:0203-0339	1296	288.876	374383.287	284.042	374383.287	1	160.972	seedling6	NRT2.1:luc	10mM	plate1
7	plate1_nrt21_10mM_luc.tif:0199-0405	1280	291.213	372752.333	284.574	372752.333	1	158.973	seedling7	NRT2.1:luc	10mM	plate1
8	plate1_nrt21_10mM_luc.tif:0202-0458	1272	287.2	365318.498	283.996	365318.498	1	157.969	seedling8	NRT2.1:luc	10mM	plate1
9	plate1_nrt21_10mM_luc.tif:0067-0166	1144	281.193	321685.286	281.205	321685.286	1	142	background	NRT2.1:luc	10mM	plate1
10	plate1_nrt21_10mM_luc.tif:0339-0391	1248	281.626	351468.825	281.656	351468.825	1	155	background	NRT2.1:luc	10mM	plate1
11	plate1_nrt21_10mM_luc.tif:0206-0212	1256	281.326	353345.795	281.34	353345.795	1	156	background	NRT2.1:luc	10mM	plate1
1	plate2_nrt21_10mM_luc.tif:0208-0085	1248	285.971	356891.344	284.157	356891.344	1	154.984	seedling9	NRT2.1:luc	10mM	plate2
2	plate2_nrt21_10mM_luc.tif:0206-0130	1264	293.828	371399.033	286.766	371399.033	1	156.993	seedling10	NRT2.1:luc	10mM	plate2
3	plate2_nrt21_10mM_luc.tif:0216-0179	1432	289.134	414039.661	285.097	414039.661	1	177.981	seedling11	NRT2.1:luc	10mM	plate2
4	plate2_nrt21_10mM_luc.tif:0190-0237	1056	286.235	302263.978	285.074	302263.978	1	130.993	seedling12	NRT2.1:luc	10mM	plate2
5	plate2_nrt21_10mM_luc.tif:0211-0294	1376	293.648	404059.482	285.879	404059.482	1	170.969	seedling13	NRT2.1:luc	10mM	plate2
6	plate2_nrt21_10mM_luc.tif:0216-0354	1400	292.394	409351.554	285.517	409351.554	1	173.987	seedling14	NRT2.1:luc	10mM	plate2
7	plate2_nrt21_10mM_luc.tif:0220-0434	1416	290.141	410839.33	284.52	410839.33	1	175.97	seedling15	NRT2.1:luc	10mM	plate2
8	plate2_nrt21_10mM_luc.tif:0218-0468	1352	290.349	392552.321	285.725	392552.321	1	167.989	seedling16	NRT2.1:luc	10mM	plate2
9	plate2_nrt21_10mM_luc.tif:0088-0216	1248	282.074	352028.46	282.037	352028.46	1	155	background	NRT2.1:luc	10mM	plate2
10	plate2_nrt21_10mM_luc.tif:0360-0392	1216	282.398	343395.432	282.389	343395.432	1	151	background	NRT2.1:luc	10mM	plate2
11	plate2_nrt21_10mM_luc.tif:0212-0380	1344	282.435	379592.314	282.419	379592.314	1	167	background	NRT2.1:luc	10mM	plate2
1	plate3-nrt21luc-10mM-luc.tif:0226-0074	1552	277.705	430997.451	273.485	430997.451	1	192.948	seedling17	NRT2.1:luc	10mM	plate3
2	plate3-nrt21luc-10mM-luc.tif:0259-0125	2160	286.971	619856.82	274.442	619856.82	1	268.982	seedling18	NRT2.1:luc	10mM	plate3
3	plate3-nrt21luc-10mM-luc.tif:0245-0181	1960	290.486	569352.842	275.741	569352.842	1	243.968	seedling19	NRT2.1:luc	10mM	plate3
4	plate3-nrt21luc-10mM-luc.tif:0226-0248	1744	292.482	510088.97	278.942	510088.97	1	216.989	seedling20	NRT2.1:luc	10mM	plate3
5	plate3-nrt21luc-10mM-luc.tif:0238-0296	1776	284.435	505156.084	274.554	505156.084	1	220.99	seedling21	NRT2.1:luc	10mM	plate3
6	plate3-nrt21luc-10mM-luc.tif:0254-0358	2064	282.372	582815.925	274.336	582815.925	1	256.969	seedling22	NRT2.1:luc	10mM	plate3
7	plate3-nrt21luc-10mM-luc.tif:0273-0431	2200	294.261	647374.211	276.945	647374.211	1	273.952	seedling23	NRT2.1:luc	10mM	plate3
8	plate3-nrt21luc-10mM-luc.tif:0252-0483	1824	292.406	533349.27	277.077	533349.27	1	226.984	seedling24	NRT2.1:luc	10mM	plate3
9	plate3-nrt21luc-10mM-luc.tif:0103-0159	1368	271.868	371915.388	271.926	371915.388	1	170	background	NRT2.1:luc	10mM	plate3
10	plate3-nrt21luc-10mM-luc.tif:0418-0351	1544	271.897	419808.203	271.875	419808.203	1	192	background	NRT2.1:luc	10mM	plate3
11	plate3-nrt21luc-10mM-luc.tif:0245-0226	1728	272.073	470142.266	272.025	470142.266	1	215	background	NRT2.1:luc	10mM	plate3
1	plate4-nrt21luc-10mM-luc.tif:0271-0068	2208	284.933	629132.115	272.958	629132.115	1	274.978	seedling25	NRT2.1:luc	10mM	plate4
2	plate4-nrt21luc-10mM-luc.tif:0241-0123	1808	278.252	503079.865	273.533	503079.865	1	224.989	seedling26	NRT2.1:luc	10mM	plate4
3	plate4-nrt21luc-10mM-luc.tif:0216-0159	1504	272.789	410274.449	271.987	410274.449	1	186.992	seedling27	NRT2.1:luc	10mM	plate4
4	plate4-nrt21luc-10mM-luc.tif:0230-0229	1744	280.674	489494.861	273.925	489494.861	1	216.987	seedling28	NRT2.1:luc	10mM	plate4
5	plate4-nrt21luc-10mM-luc.tif:0254-0292	1992	288.173	574040.407	275.27	574040.407	1	247.97	seedling29	NRT2.1:luc	10mM	plate4
6	plate4-nrt21luc-10mM-luc.tif:0240-0344	1920	284.618	546465.811	274.998	546465.811	1	238.993	seedling30	NRT2.1:luc	10mM	plate4
7	plate4-nrt21luc-10mM-luc.tif:0264-0414	2168	288.586	625655.327	276.533	625655.327	1	269.978	seedling31	NRT2.1:luc	10mM	plate4
8	plate4-nrt21luc-10mM-luc.tif:0232-0472	1648	283.78	467669.125	275.756	467669.125	1	204.971	seedling32	NRT2.1:luc	10mM	plate4
9	plate4-nrt21luc-10mM-luc.tif:0085-0179	1584	271.353	429823.474	271.333	429823.474	1	197	background	NRT2.1:luc	10mM	plate4
10	plate4-nrt21luc-10mM-luc.tif:0430-0360	1768	271.62	480224.431	271.562	480224.431	1	220	background	NRT2.1:luc	10mM	plate4
11	plate4-nrt21luc-10mM-luc.tif:0237-0195	1696	271.391	460278.616	271.366	460278.616	1	210.998	background	NRT2.1:luc	10mM	plate4
