Primer	Name	Cp
ACT2	pNRT2.1:luc_seedling15	26.77
ACT2	pNRT2.1:luc_seedling15	26.84
UBQ10	pNRT2.1:luc_seedling15	19.47
UBQ10	pNRT2.1:luc_seedling15	19.46
UBQ10	pNRT2.1:luc_seedling15	19.5
NRT2.1	pNRT2.1:luc_seedling15	22.09
NRT2.1	pNRT2.1:luc_seedling15	22.09
NRT2.1	pNRT2.1:luc_seedling15	22.13
LUC	pNRT2.1:luc_seedling15	28.55
LUC	pNRT2.1:luc_seedling15	28.5
LUC	pNRT2.1:luc_seedling15	28.86
ACT2	pNRT2.1:luc_seedling8	26.59
ACT2	pNRT2.1:luc_seedling8	26.58
ACT2	pNRT2.1:luc_seedling8	26.67
UBQ10	pNRT2.1:luc_seedling8	19.3
UBQ10	pNRT2.1:luc_seedling8	19.31
UBQ10	pNRT2.1:luc_seedling8	19.34
NRT2.1	pNRT2.1:luc_seedling8	22.11
NRT2.1	pNRT2.1:luc_seedling8	22.1
NRT2.1	pNRT2.1:luc_seedling8	22.11
LUC	pNRT2.1:luc_seedling8	28.51
LUC	pNRT2.1:luc_seedling8	28.65
LUC	pNRT2.1:luc_seedling8	28.57
ACT2	pNRT2.1:luc_seedling24	25.91
ACT2	pNRT2.1:luc_seedling24	25.95
ACT2	pNRT2.1:luc_seedling24	25.84
UBQ10	pNRT2.1:luc_seedling24	19.03
UBQ10	pNRT2.1:luc_seedling24	19.09
UBQ10	pNRT2.1:luc_seedling24	19.05
NRT2.1	pNRT2.1:luc_seedling24	21.84
NRT2.1	pNRT2.1:luc_seedling24	21.82
NRT2.1	pNRT2.1:luc_seedling24	21.86
LUC	pNRT2.1:luc_seedling24	28.44
LUC	pNRT2.1:luc_seedling24	28.31
LUC	pNRT2.1:luc_seedling24	28.14
ACT2	pNRT2.1:luc_seedling16	27.32
ACT2	pNRT2.1:luc_seedling16	27.21
ACT2	pNRT2.1:luc_seedling16	27.25
UBQ10	pNRT2.1:luc_seedling16	18.93
UBQ10	pNRT2.1:luc_seedling16	18.93
UBQ10	pNRT2.1:luc_seedling16	18.96
NRT2.1	pNRT2.1:luc_seedling16	22.61
NRT2.1	pNRT2.1:luc_seedling16	22.6
NRT2.1	pNRT2.1:luc_seedling16	22.58
LUC	pNRT2.1:luc_seedling16	28.8
LUC	pNRT2.1:luc_seedling16	28.69
LUC	pNRT2.1:luc_seedling16	28.82
