	sample	length_mm	Slice	seedling	genotype	Position	continued_growing	seedling_luc
11	Substack (1-122-2):0061-0363-0335:61	27.701	56	seedling11	pNRT2.1:LUC	Pos0	yes	seedling5
12	Substack (1-122-2):0061-0324-0369:61	7.02	56	seedling12	pNRT2.1:LUC	Pos0	no	
1	Substack (1-122-2):0061-0220-0092:61	31.277	55	seedling1	pNRT2.1:LUC	Pos0	yes	seedling1
2	Substack (1-122-2):0061-0208-0187:61	26.046	55	seedling2	pNRT2.1:LUC	Pos0	yes	seedling2
3	Substack (1-122-2):0061-0173-0324:61	7.158	55	seedling3	pNRT2.1:LUC	Pos0	no	
4	Substack (1-122-2):0061-0173-0358:61	6.702	55	seedling4	pNRT2.1:LUC	Pos0	no	
5	Substack (1-122-2):0061-0334-0096:61	7.79	55	seedling5	pNRT2.1:LUC	Pos0	no	
6	Substack (1-122-2):0061-0334-0165:61	7.691	55	seedling6	pNRT2.1:LUC	Pos0	no	
7	Substack (1-122-2):0061-0389-0194:61	37.231	55	seedling7	pNRT2.1:LUC	Pos0	yes	seedling3
8	Substack (1-122-2):0061-0386-0232:61	38.766	55	seedling8	pNRT2.1:LUC	Pos0	yes	seedling4
9	Substack (1-122-2):0061-0326-0267:61	4.911	55	seedling9	pNRT2.1:LUC	Pos0	no	
10	Substack (1-122-2):0061-0332-0301:61	8.378	55	seedling10	pNRT2.1:LUC	Pos0	no	
11	Substack (1-122-2):0061-0363-0335:61	27.701	55	seedling11	pNRT2.1:LUC	Pos0	yes	seedling5
12	Substack (1-122-2):0061-0324-0369:61	7.02	55	seedling12	pNRT2.1:LUC	Pos0	no	
1	Substack (1-122-2):0061-0220-0092:61	30.357	54	seedling1	pNRT2.1:LUC	Pos0	yes	seedling1
2	Substack (1-122-2):0061-0208-0187:61	25.011	54	seedling2	pNRT2.1:LUC	Pos0	yes	seedling2
3	Substack (1-122-2):0061-0173-0324:61	7.158	54	seedling3	pNRT2.1:LUC	Pos0	no	
4	Substack (1-122-2):0061-0173-0358:61	6.702	54	seedling4	pNRT2.1:LUC	Pos0	no	
5	Substack (1-122-2):0061-0334-0096:61	7.79	54	seedling5	pNRT2.1:LUC	Pos0	no	
