	sample	length_mm	Slice	seedling	genotype	Position	continued_growing	seedling_luc
3	Substack (1-122-2):0061-0173-0324:61	6.858	20	seedling3	pNRT2.1:LUC	Pos0	no	
4	Substack (1-122-2):0061-0173-0358:61	6.291	20	seedling4	pNRT2.1:LUC	Pos0	no	
5	Substack (1-122-2):0061-0334-0096:61	6.98	20	seedling5	pNRT2.1:LUC	Pos0	no	
6	Substack (1-122-2):0061-0334-0165:61	7.691	20	seedling6	pNRT2.1:LUC	Pos0	no	
7	Substack (1-122-2):0061-0389-0194:61	9.918	20	seedling7	pNRT2.1:LUC	Pos0	yes	seedling3
8	Substack (1-122-2):0061-0386-0232:61	8.3	20	seedling8	pNRT2.1:LUC	Pos0	yes	seedling4
9	Substack (1-122-2):0061-0326-0267:61	4.746	20	seedling9	pNRT2.1:LUC	Pos0	no	
10	Substack (1-122-2):0061-0332-0301:61	7.653	20	seedling10	pNRT2.1:LUC	Pos0	no	
11	Substack (1-122-2):0061-0363-0335:61	7.083	20	seedling11	pNRT2.1:LUC	Pos0	yes	seedling5
12	Substack (1-122-2):0061-0324-0369:61	6.368	20	seedling12	pNRT2.1:LUC	Pos0	no	
1	Substack (1-122-2):0061-0220-0092:61	7.147	19	seedling1	pNRT2.1:LUC	Pos0	yes	seedling1
2	Substack (1-122-2):0061-0208-0187:61	7.199	19	seedling2	pNRT2.1:LUC	Pos0	yes	seedling2
3	Substack (1-122-2):0061-0173-0324:61	6.858	19	seedling3	pNRT2.1:LUC	Pos0	no	
4	Substack (1-122-2):0061-0173-0358:61	5.948	19	seedling4	pNRT2.1:LUC	Pos0	no	
5	Substack (1-122-2):0061-0334-0096:61	6.805	19	seedling5	pNRT2.1:LUC	Pos0	no	
6	Substack (1-122-2):0061-0334-0165:61	7.455	19	seedling6	pNRT2.1:LUC	Pos0	no	
7	Substack (1-122-2):0061-0389-0194:61	9.078	19	seedling7	pNRT2.1:LUC	Pos0	yes	seedling3
8	Substack (1-122-2):0061-0386-0232:61	7.727	19	seedling8	pNRT2.1:LUC	Pos0	yes	seedling4
9	Substack (1-122-2):0061-0326-0267:61	4.611	19	seedling9	pNRT2.1:LUC	Pos0	no	
10	Substack (1-122-2):0061-0332-0301:61	7.653	19	seedling10	pNRT2.1:LUC	Pos0	no	
11	Substack (1-122-2):0061-0363-0335:61	6.834	19	seedling11	pNRT2.1:LUC	Pos0	yes	seedling5
12	Substack (1-122-2):0061-0324-0369:61	6.288	19	seedling12	pNRT2.1:LUC	Pos0	no	
1	Substack (1-122-2):0061-0220-0092:61	6.939	18	seedling1	pNRT2.1:LUC	Pos0	yes	seedling1
2	Substack (1-122-2):0061-0208-0187:61	6.941	18	seedling2	pNRT2.1:LUC	Pos0	yes	seedling2
3	Substack (1-122-2):0061-0173-0324:61	6.608	18	seedling3	pNRT2.1:LUC	Pos0	no	
4	Substack (1-122-2):0061-0173-0358:61	5.604	18	seedling4	pNRT2.1:LUC	Pos0	no	
5	Substack (1-122-2):0061-0334-0096:61	6.805	18	seedling5	pNRT2.1:LUC	Pos0	no	
6	Substack (1-122-2):0061-0334-0165:61	7.403	18	seedling6	pNRT2.1:LUC	Pos0	no	
7	Substack (1-122-2):0061-0389-0194:61	8.644	18	seedling7	pNRT2.1:LUC	Pos0	yes	seedling3
8	Substack (1-122-2):0061-0386-0232:61	7.074	18	seedling8	pNRT2.1:LUC	Pos0	yes	seedling4
9	Substack (1-122-2):0061-0326-0267:61	4.611	18	seedling9	pNRT2.1:LUC	Pos0	no	
10	Substack (1-122-2):0061-0332-0301:61	7.653	18	seedling10	pNRT2.1:LUC	Pos0	no	
11	Substack (1-122-2):0061-0363-0335:61	6.834	18	seedling11	pNRT2.1:LUC	Pos0	yes	seedling5
12	Substack (1-122-2):0061-0324-0369:61	6.288	18	seedling12	pNRT2.1:LUC	Pos0	no	
1	Substack (1-122-2):0061-0220-0092:61	6.611	17	seedling1	pNRT2.1:LUC	Pos0	yes	seedling1
2	Substack (1-122-2):0061-0208-0187:61	6.381	17	seedling2	pNRT2.1:LUC	Pos0	yes	seedling2
3	Substack (1-122-2):0061-0173-0324:61	6.505	17	seedling3	pNRT2.1:LUC	Pos0	no	
4	Substack (1-122-2):0061-0173-0358:61	5.361	17	seedling4	pNRT2.1:LUC	Pos0	no	
5	Substack (1-122-2):0061-0334-0096:61	6.616	17	seedling5	pNRT2.1:LUC	Pos0	no	
6	Substack (1-122-2):0061-0334-0165:61	7.096	17	seedling6	pNRT2.1:LUC	Pos0	no	
7	Substack (1-122-2):0061-0389-0194:61	7.997	17	seedling7	pNRT2.1:LUC	Pos0	yes	seedling3
8	Substack (1-122-2):0061-0386-0232:61	6.36	17	seedling8	pNRT2.1:LUC	Pos0	yes	seedling4
9	Substack (1-122-2):0061-0326-0267:61	4.503	17	seedling9	pNRT2.1:LUC	Pos0	no	
10	Substack (1-122-2):0061-0332-0301:61	7.258	17	seedling10	pNRT2.1:LUC	Pos0	no	
11	Substack (1-122-2):0061-0363-0335:61	6.152	17	seedling11	pNRT2.1:LUC	Pos0	yes	seedling5
12	Substack (1-122-2):0061-0324-0369:61	6.164	17	seedling12	pNRT2.1:LUC	Pos0	no	
1	Substack (1-122-2):0061-0220-0092:61	6.227	16	seedling1	pNRT2.1:LUC	Pos0	yes	seedling1
2	Substack (1-122-2):0061-0208-0187:61	6.057	16	seedling2	pNRT2.1:LUC	Pos0	yes	seedling2
3	Substack (1-122-2):0061-0173-0324:61	6.163	16	seedling3	pNRT2.1:LUC	Pos0	no	
4	Substack (1-122-2):0061-0173-0358:61	5.004	16	seedling4	pNRT2.1:LUC	Pos0	no	
5	Substack (1-122-2):0061-0334-0096:61	6.073	16	seedling5	pNRT2.1:LUC	Pos0	no	
6	Substack (1-122-2):0061-0334-0165:61	6.247	16	seedling6	pNRT2.1:LUC	Pos0	no	
7	Substack (1-122-2):0061-0389-0194:61	7.056	16	seedling7	pNRT2.1:LUC	Pos0	yes	seedling3
8	Substack (1-122-2):0061-0386-0232:61	5.621	16	seedling8	pNRT2.1:LUC	Pos0	yes	seedling4
9	Substack (1-122-2):0061-0326-0267:61	4.153	16	seedling9	pNRT2.1:LUC	Pos0	no	
10	Substack (1-122-2):0061-0332-0301:61	6.666	16	seedling10	pNRT2.1:LUC	Pos0	no	
11	Substack (1-122-2):0061-0363-0335:61	5.525	16	seedling11	pNRT2.1:LUC	Pos0	yes	seedling5
12	Substack (1-122-2):0061-0324-0369:61	5.775	16	seedling12	pNRT2.1:LUC	Pos0	no	
1	Substack (1-122-2):0061-0220-0092:61	5.891	15	seedling1	pNRT2.1:LUC	Pos0	yes	seedling1
2	Substack (1-122-2):0061-0208-0187:61	5.682	15	seedling2	pNRT2.1:LUC	Pos0	yes	seedling2
3	Substack (1-122-2):0061-0173-0324:61	5.57	15	seedling3	pNRT2.1:LUC	Pos0	no	
4	Substack (1-122-2):0061-0173-0358:61	4.349	15	seedling4	pNRT2.1:LUC	Pos0	no	
5	Substack (1-122-2):0061-0334-0096:61	5.688	15	seedling5	pNRT2.1:LUC	Pos0	no	
6	Substack (1-122-2):0061-0334-0165:61	5.881	15	seedling6	pNRT2.1:LUC	Pos0	no	
7	Substack (1-122-2):0061-0389-0194:61	6.458	15	seedling7	pNRT2.1:LUC	Pos0	yes	seedling3
8	Substack (1-122-2):0061-0386-0232:61	4.981	15	seedling8	pNRT2.1:LUC	Pos0	yes	seedling4
9	Substack (1-122-2):0061-0326-0267:61	4.153	15	seedling9	pNRT2.1:LUC	Pos0	no	
10	Substack (1-122-2):0061-0332-0301:61	6.208	15	seedling10	pNRT2.1:LUC	Pos0	no	
11	Substack (1-122-2):0061-0363-0335:61	5.16	15	seedling11	pNRT2.1:LUC	Pos0	yes	seedling5
12	Substack (1-122-2):0061-0324-0369:61	5.273	15	seedling12	pNRT2.1:LUC	Pos0	no	
1	Substack (1-122-2):0061-0220-0092:61	5.521	14	seedling1	pNRT2.1:LUC	Pos0	yes	seedling1
2	Substack (1-122-2):0061-0208-0187:61	5.04	14	seedling2	pNRT2.1:LUC	Pos0	yes	seedling2
3	Substack (1-122-2):0061-0173-0324:61	4.909	14	seedling3	pNRT2.1:LUC	Pos0	no	
4	Substack (1-122-2):0061-0173-0358:61	3.967	14	seedling4	pNRT2.1:LUC	Pos0	no	
5	Substack (1-122-2):0061-0334-0096:61	4.907	14	seedling5	pNRT2.1:LUC	Pos0	no	
6	Substack (1-122-2):0061-0334-0165:61	5.324	14	seedling6	pNRT2.1:LUC	Pos0	no	
7	Substack (1-122-2):0061-0389-0194:61	5.758	14	seedling7	pNRT2.1:LUC	Pos0	yes	seedling3
8	Substack (1-122-2):0061-0386-0232:61	4.674	14	seedling8	pNRT2.1:LUC	Pos0	yes	seedling4
9	Substack (1-122-2):0061-0326-0267:61	3.904	14	seedling9	pNRT2.1:LUC	Pos0	no	
10	Substack (1-122-2):0061-0332-0301:61	5.389	14	seedling10	pNRT2.1:LUC	Pos0	no	
11	Substack (1-122-2):0061-0363-0335:61	4.813	14	seedling11	pNRT2.1:LUC	Pos0	yes	seedling5
12	Substack (1-122-2):0061-0324-0369:61	4.744	14	seedling12	pNRT2.1:LUC	Pos0	no	
1	Substack (1-122-2):0061-0220-0092:61	5.218	13	seedling1	pNRT2.1:LUC	Pos0	yes	seedling1
2	Substack (1-122-2):0061-0208-0187:61	4.525	13	seedling2	pNRT2.1:LUC	Pos0	yes	seedling2
3	Substack (1-122-2):0061-0173-0324:61	4.299	13	seedling3	pNRT2.1:LUC	Pos0	no	
4	Substack (1-122-2):0061-0173-0358:61	3.438	13	seedling4	pNRT2.1:LUC	Pos0	no	
5	Substack (1-122-2):0061-0334-0096:61	4.342	13	seedling5	pNRT2.1:LUC	Pos0	no	
6	Substack (1-122-2):0061-0334-0165:61	4.901	13	seedling6	pNRT2.1:LUC	Pos0	no	
7	Substack (1-122-2):0061-0389-0194:61	5.119	13	seedling7	pNRT2.1:LUC	Pos0	yes	seedling3
8	Substack (1-122-2):0061-0386-0232:61	4.126	13	seedling8	pNRT2.1:LUC	Pos0	yes	seedling4
9	Substack (1-122-2):0061-0326-0267:61	3.535	13	seedling9	pNRT2.1:LUC	Pos0	no	
10	Substack (1-122-2):0061-0332-0301:61	4.719	13	seedling10	pNRT2.1:LUC	Pos0	no	
11	Substack (1-122-2):0061-0363-0335:61	4.467	13	seedling11	pNRT2.1:LUC	Pos0	yes	seedling5
12	Substack (1-122-2):0061-0324-0369:61	4.346	13	seedling12	pNRT2.1:LUC	Pos0	no	
1	Substack (1-122-2):0061-0220-0092:61	4.482	12	seedling1	pNRT2.1:LUC	Pos0	yes	seedling1
2	Substack (1-122-2):0061-0208-0187:61	4.194	12	seedling2	pNRT2.1:LUC	Pos0	yes	seedling2
3	Substack (1-122-2):0061-0173-0324:61	3.915	12	seedling3	pNRT2.1:LUC	Pos0	no	
4	Substack (1-122-2):0061-0173-0358:61	2.89	12	seedling4	pNRT2.1:LUC	Pos0	no	
5	Substack (1-122-2):0061-0334-0096:61	3.817	12	seedling5	pNRT2.1:LUC	Pos0	no	
6	Substack (1-122-2):0061-0334-0165:61	4.25	12	seedling6	pNRT2.1:LUC	Pos0	no	
7	Substack (1-122-2):0061-0389-0194:61	4.446	12	seedling7	pNRT2.1:LUC	Pos0	yes	seedling3
8	Substack (1-122-2):0061-0386-0232:61	3.379	12	seedling8	pNRT2.1:LUC	Pos0	yes	seedling4
9	Substack (1-122-2):0061-0326-0267:61	3.137	12	seedling9	pNRT2.1:LUC	Pos0	no	
10	Substack (1-122-2):0061-0332-0301:61	4.137	12	seedling10	pNRT2.1:LUC	Pos0	no	
11	Substack (1-122-2):0061-0363-0335:61	3.796	12	seedling11	pNRT2.1:LUC	Pos0	yes	seedling5
12	Substack (1-122-2):0061-0324-0369:61	3.642	12	seedling12	pNRT2.1:LUC	Pos0	no	
1	Substack (1-122-2):0061-0220-0092:61	3.948	11	seedling1	pNRT2.1:LUC	Pos0	yes	seedling1
2	Substack (1-122-2):0061-0208-0187:61	3.796	11	seedling2	pNRT2.1:LUC	Pos0	yes	seedling2
3	Substack (1-122-2):0061-0173-0324:61	3.206	11	seedling3	pNRT2.1:LUC	Pos0	no	
4	Substack (1-122-2):0061-0173-0358:61	2.493	11	seedling4	pNRT2.1:LUC	Pos0	no	
5	Substack (1-122-2):0061-0334-0096:61	3.334	11	seedling5	pNRT2.1:LUC	Pos0	no	
6	Substack (1-122-2):0061-0334-0165:61	3.643	11	seedling6	pNRT2.1:LUC	Pos0	no	
7	Substack (1-122-2):0061-0389-0194:61	3.801	11	seedling7	pNRT2.1:LUC	Pos0	yes	seedling3
8	Substack (1-122-2):0061-0386-0232:61	3.069	11	seedling8	pNRT2.1:LUC	Pos0	yes	seedling4
9	Substack (1-122-2):0061-0326-0267:61	2.619	11	seedling9	pNRT2.1:LUC	Pos0	no	
10	Substack (1-122-2):0061-0332-0301:61	3.116	11	seedling10	pNRT2.1:LUC	Pos0	no	
11	Substack (1-122-2):0061-0363-0335:61	3.175	11	seedling11	pNRT2.1:LUC	Pos0	yes	seedling5
12	Substack (1-122-2):0061-0324-0369:61	3.036	11	seedling12	pNRT2.1:LUC	Pos0	no	
1	Substack (1-122-2):0061-0220-0092:61	3.419	10	seedling1	pNRT2.1:LUC	Pos0	yes	seedling1
2	Substack (1-122-2):0061-0208-0187:61	3.267	10	seedling2	pNRT2.1:LUC	Pos0	yes	seedling2
3	Substack (1-122-2):0061-0173-0324:61	2.278	10	seedling3	pNRT2.1:LUC	Pos0	no	
4	Substack (1-122-2):0061-0173-0358:61	1.285	10	seedling4	pNRT2.1:LUC	Pos0	no	
5	Substack (1-122-2):0061-0334-0096:61	2.508	10	seedling5	pNRT2.1:LUC	Pos0	no	
6	Substack (1-122-2):0061-0334-0165:61	3.004	10	seedling6	pNRT2.1:LUC	Pos0	no	
7	Substack (1-122-2):0061-0389-0194:61	2.848	10	seedling7	pNRT2.1:LUC	Pos0	yes	seedling3
8	Substack (1-122-2):0061-0386-0232:61	2.399	10	seedling8	pNRT2.1:LUC	Pos0	yes	seedling4
9	Substack (1-122-2):0061-0326-0267:61	2.188	10	seedling9	pNRT2.1:LUC	Pos0	no	
10	Substack (1-122-2):0061-0332-0301:61	1.946	10	seedling10	pNRT2.1:LUC	Pos0	no	
11	Substack (1-122-2):0061-0363-0335:61	2.4	10	seedling11	pNRT2.1:LUC	Pos0	yes	seedling5
12	Substack (1-122-2):0061-0324-0369:61	2.341	10	seedling12	pNRT2.1:LUC	Pos0	no	
1	Substack (1-122-2):0061-0224-0221:61	36.15	61	seedling14	p35S:LUC	Pos1	yes	seedling1
2	Substack (1-122-2):0061-0179-0295:61	7.803	61	seedling15	p35S:LUC	Pos1	no	
3	Substack (1-122-2):0061-0177-0395:61	8.255	61	seedling16	p35S:LUC	Pos1	no	
4	Substack (1-122-2):0061-0336-0129:61	8.854	61	seedling17	p35S:LUC	Pos1	no	
5	Substack (1-122-2):0061-0381-0194:61	38.993	61	seedling18	p35S:LUC	Pos1	yes	seedling3
6	Substack (1-122-2):0061-0380-0267:61	40.808	61	seedling19	p35S:LUC	Pos1	yes	seedling4
7	Substack (1-122-2):0061-0329-0301:61	6.215	61	seedling20	p35S:LUC	Pos1	no	
8	Substack (1-122-2):0061-0370-0371:61	35.901	61	seedling21	p35S:LUC	Pos1	yes	seedling5
9	Substack (1-122-2):0061-0324-0400:61	6.493	61	seedling22	p35S:LUC	Pos1	no	
1	Substack (1-122-2):0061-0224-0221:61	35.151	60	seedling14	p35S:LUC	Pos1	yes	seedling1
2	Substack (1-122-2):0061-0179-0295:61	7.803	60	seedling15	p35S:LUC	Pos1	no	
3	Substack (1-122-2):0061-0177-0395:61	8.255	60	seedling16	p35S:LUC	Pos1	no	
4	Substack (1-122-2):0061-0336-0129:61	8.854	60	seedling17	p35S:LUC	Pos1	no	
5	Substack (1-122-2):0061-0381-0194:61	38.036	60	seedling18	p35S:LUC	Pos1	yes	seedling3
6	Substack (1-122-2):0061-0380-0267:61	39.892	60	seedling19	p35S:LUC	Pos1	yes	seedling4
7	Substack (1-122-2):0061-0329-0301:61	6.215	60	seedling20	p35S:LUC	Pos1	no	
8	Substack (1-122-2):0061-0370-0371:61	35.901	60	seedling21	p35S:LUC	Pos1	yes	seedling5
9	Substack (1-122-2):0061-0324-0400:61	6.493	60	seedling22	p35S:LUC	Pos1	no	
1	Substack (1-122-2):0061-0224-0221:61	33.743	59	seedling14	p35S:LUC	Pos1	yes	seedling1
2	Substack (1-122-2):0061-0179-0295:61	7.803	59	seedling15	p35S:LUC	Pos1	no	
3	Substack (1-122-2):0061-0177-0395:61	8.255	59	seedling16	p35S:LUC	Pos1	no	
4	Substack (1-122-2):0061-0336-0129:61	8.854	59	seedling17	p35S:LUC	Pos1	no	
5	Substack (1-122-2):0061-0381-0194:61	37.212	59	seedling18	p35S:LUC	Pos1	yes	seedling3
6	Substack (1-122-2):0061-0380-0267:61	38.922	59	seedling19	p35S:LUC	Pos1	yes	seedling4
7	Substack (1-122-2):0061-0329-0301:61	6.215	59	seedling20	p35S:LUC	Pos1	no	
8	Substack (1-122-2):0061-0370-0371:61	34.927	59	seedling21	p35S:LUC	Pos1	yes	seedling5
9	Substack (1-122-2):0061-0324-0400:61	6.493	59	seedling22	p35S:LUC	Pos1	no	
1	Substack (1-122-2):0061-0224-0221:61	32.752	58	seedling14	p35S:LUC	Pos1	yes	seedling1
2	Substack (1-122-2):0061-0179-0295:61	7.803	58	seedling15	p35S:LUC	Pos1	no	
3	Substack (1-122-2):0061-0177-0395:61	8.255	58	seedling16	p35S:LUC	Pos1	no	
4	Substack (1-122-2):0061-0336-0129:61	8.854	58	seedling17	p35S:LUC	Pos1	no	
5	Substack (1-122-2):0061-0381-0194:61	36.574	58	seedling18	p35S:LUC	Pos1	yes	seedling3
6	Substack (1-122-2):0061-0380-0267:61	38.385	58	seedling19	p35S:LUC	Pos1	yes	seedling4
7	Substack (1-122-2):0061-0329-0301:61	6.215	58	seedling20	p35S:LUC	Pos1	no	
8	Substack (1-122-2):0061-0370-0371:61	34.927	58	seedling21	p35S:LUC	Pos1	yes	seedling5
9	Substack (1-122-2):0061-0324-0400:61	6.493	58	seedling22	p35S:LUC	Pos1	no	
1	Substack (1-122-2):0061-0224-0221:61	31.664	57	seedling14	p35S:LUC	Pos1	yes	seedling1
2	Substack (1-122-2):0061-0179-0295:61	7.803	57	seedling15	p35S:LUC	Pos1	no	
3	Substack (1-122-2):0061-0177-0395:61	8.255	57	seedling16	p35S:LUC	Pos1	no	
4	Substack (1-122-2):0061-0336-0129:61	8.854	57	seedling17	p35S:LUC	Pos1	no	
5	Substack (1-122-2):0061-0381-0194:61	35.786	57	seedling18	p35S:LUC	Pos1	yes	seedling3
6	Substack (1-122-2):0061-0380-0267:61	37.03	57	seedling19	p35S:LUC	Pos1	yes	seedling4
7	Substack (1-122-2):0061-0329-0301:61	6.215	57	seedling20	p35S:LUC	Pos1	no	
8	Substack (1-122-2):0061-0370-0371:61	34.927	57	seedling21	p35S:LUC	Pos1	yes	seedling5
9	Substack (1-122-2):0061-0324-0400:61	6.493	57	seedling22	p35S:LUC	Pos1	no	
1	Substack (1-122-2):0061-0224-0221:61	30.803	56	seedling14	p35S:LUC	Pos1	yes	seedling1
2	Substack (1-122-2):0061-0179-0295:61	7.803	56	seedling15	p35S:LUC	Pos1	no	
3	Substack (1-122-2):0061-0177-0395:61	8.255	56	seedling16	p35S:LUC	Pos1	no	
4	Substack (1-122-2):0061-0336-0129:61	8.854	56	seedling17	p35S:LUC	Pos1	no	
5	Substack (1-122-2):0061-0381-0194:61	35.176	56	seedling18	p35S:LUC	Pos1	yes	seedling3
6	Substack (1-122-2):0061-0380-0267:61	36.52	56	seedling19	p35S:LUC	Pos1	yes	seedling4
7	Substack (1-122-2):0061-0329-0301:61	6.215	56	seedling20	p35S:LUC	Pos1	no	
8	Substack (1-122-2):0061-0370-0371:61	34.927	56	seedling21	p35S:LUC	Pos1	yes	seedling5
9	Substack (1-122-2):0061-0324-0400:61	6.493	56	seedling22	p35S:LUC	Pos1	no	
1	Substack (1-122-2):0061-0224-0221:61	29.939	55	seedling14	p35S:LUC	Pos1	yes	seedling1
2	Substack (1-122-2):0061-0179-0295:61	7.803	55	seedling15	p35S:LUC	Pos1	no	
3	Substack (1-122-2):0061-0177-0395:61	8.255	55	seedling16	p35S:LUC	Pos1	no	
4	Substack (1-122-2):0061-0336-0129:61	8.854	55	seedling17	p35S:LUC	Pos1	no	
5	Substack (1-122-2):0061-0381-0194:61	34.504	55	seedling18	p35S:LUC	Pos1	yes	seedling3
6	Substack (1-122-2):0061-0380-0267:61	35.033	55	seedling19	p35S:LUC	Pos1	yes	seedling4
7	Substack (1-122-2):0061-0329-0301:61	6.215	55	seedling20	p35S:LUC	Pos1	no	
8	Substack (1-122-2):0061-0370-0371:61	34.927	55	seedling21	p35S:LUC	Pos1	yes	seedling5
9	Substack (1-122-2):0061-0324-0400:61	6.493	55	seedling22	p35S:LUC	Pos1	no	
1	Substack (1-122-2):0061-0224-0221:61	28.831	54	seedling14	p35S:LUC	Pos1	yes	seedling1
2	Substack (1-122-2):0061-0179-0295:61	7.803	54	seedling15	p35S:LUC	Pos1	no	
3	Substack (1-122-2):0061-0177-0395:61	8.255	54	seedling16	p35S:LUC	Pos1	no	
4	Substack (1-122-2):0061-0336-0129:61	8.854	54	seedling17	p35S:LUC	Pos1	no	
5	Substack (1-122-2):0061-0381-0194:61	33.473	54	seedling18	p35S:LUC	Pos1	yes	seedling3
6	Substack (1-122-2):0061-0380-0267:61	33.608	54	seedling19	p35S:LUC	Pos1	yes	seedling4
7	Substack (1-122-2):0061-0329-0301:61	6.215	54	seedling20	p35S:LUC	Pos1	no	
8	Substack (1-122-2):0061-0370-0371:61	34.28	54	seedling21	p35S:LUC	Pos1	yes	seedling5
9	Substack (1-122-2):0061-0324-0400:61	6.493	54	seedling22	p35S:LUC	Pos1	no	
1	Substack (1-122-2):0061-0224-0221:61	28.113	53	seedling14	p35S:LUC	Pos1	yes	seedling1
2	Substack (1-122-2):0061-0179-0295:61	7.803	53	seedling15	p35S:LUC	Pos1	no	
3	Substack (1-122-2):0061-0177-0395:61	8.255	53	seedling16	p35S:LUC	Pos1	no	
4	Substack (1-122-2):0061-0336-0129:61	8.854	53	seedling17	p35S:LUC	Pos1	no	
5	Substack (1-122-2):0061-0381-0194:61	32.83	53	seedling18	p35S:LUC	Pos1	yes	seedling3
6	Substack (1-122-2):0061-0380-0267:61	32.918	53	seedling19	p35S:LUC	Pos1	yes	seedling4
7	Substack (1-122-2):0061-0329-0301:61	6.215	53	seedling20	p35S:LUC	Pos1	no	
8	Substack (1-122-2):0061-0370-0371:61	33.296	53	seedling21	p35S:LUC	Pos1	yes	seedling5
9	Substack (1-122-2):0061-0324-0400:61	6.493	53	seedling22	p35S:LUC	Pos1	no	
1	Substack (1-122-2):0061-0224-0221:61	27.194	52	seedling14	p35S:LUC	Pos1	yes	seedling1
2	Substack (1-122-2):0061-0179-0295:61	7.803	52	seedling15	p35S:LUC	Pos1	no	
3	Substack (1-122-2):0061-0177-0395:61	8.255	52	seedling16	p35S:LUC	Pos1	no	
4	Substack (1-122-2):0061-0336-0129:61	8.854	52	seedling17	p35S:LUC	Pos1	no	
5	Substack (1-122-2):0061-0381-0194:61	32.017	52	seedling18	p35S:LUC	Pos1	yes	seedling3
6	Substack (1-122-2):0061-0380-0267:61	31.895	52	seedling19	p35S:LUC	Pos1	yes	seedling4
7	Substack (1-122-2):0061-0329-0301:61	6.215	52	seedling20	p35S:LUC	Pos1	no	
8	Substack (1-122-2):0061-0370-0371:61	32.321	52	seedling21	p35S:LUC	Pos1	yes	seedling5
9	Substack (1-122-2):0061-0324-0400:61	6.493	52	seedling22	p35S:LUC	Pos1	no	
1	Substack (1-122-2):0061-0224-0221:61	26.456	51	seedling14	p35S:LUC	Pos1	yes	seedling1
2	Substack (1-122-2):0061-0179-0295:61	7.803	51	seedling15	p35S:LUC	Pos1	no	
3	Substack (1-122-2):0061-0177-0395:61	8.255	51	seedling16	p35S:LUC	Pos1	no	
4	Substack (1-122-2):0061-0336-0129:61	8.854	51	seedling17	p35S:LUC	Pos1	no	
5	Substack (1-122-2):0061-0381-0194:61	31.286	51	seedling18	p35S:LUC	Pos1	yes	seedling3
6	Substack (1-122-2):0061-0380-0267:61	31.298	51	seedling19	p35S:LUC	Pos1	yes	seedling4
7	Substack (1-122-2):0061-0329-0301:61	6.215	51	seedling20	p35S:LUC	Pos1	no	
8	Substack (1-122-2):0061-0370-0371:61	31.542	51	seedling21	p35S:LUC	Pos1	yes	seedling5
9	Substack (1-122-2):0061-0324-0400:61	6.493	51	seedling22	p35S:LUC	Pos1	no	
1	Substack (1-122-2):0061-0224-0221:61	25.265	50	seedling14	p35S:LUC	Pos1	yes	seedling1
2	Substack (1-122-2):0061-0179-0295:61	7.803	50	seedling15	p35S:LUC	Pos1	no	
3	Substack (1-122-2):0061-0177-0395:61	8.255	50	seedling16	p35S:LUC	Pos1	no	
4	Substack (1-122-2):0061-0336-0129:61	8.854	50	seedling17	p35S:LUC	Pos1	no	
5	Substack (1-122-2):0061-0381-0194:61	30.639	50	seedling18	p35S:LUC	Pos1	yes	seedling3
6	Substack (1-122-2):0061-0380-0267:61	30.412	50	seedling19	p35S:LUC	Pos1	yes	seedling4
7	Substack (1-122-2):0061-0329-0301:61	6.215	50	seedling20	p35S:LUC	Pos1	no	
8	Substack (1-122-2):0061-0370-0371:61	30.206	50	seedling21	p35S:LUC	Pos1	yes	seedling5
9	Substack (1-122-2):0061-0324-0400:61	6.493	50	seedling22	p35S:LUC	Pos1	no	
1	Substack (1-122-2):0061-0224-0221:61	24.551	49	seedling14	p35S:LUC	Pos1	yes	seedling1
2	Substack (1-122-2):0061-0179-0295:61	7.803	49	seedling15	p35S:LUC	Pos1	no	
3	Substack (1-122-2):0061-0177-0395:61	8.255	49	seedling16	p35S:LUC	Pos1	no	
4	Substack (1-122-2):0061-0336-0129:61	8.854	49	seedling17	p35S:LUC	Pos1	no	
5	Substack (1-122-2):0061-0381-0194:61	29.71	49	seedling18	p35S:LUC	Pos1	yes	seedling3
6	Substack (1-122-2):0061-0380-0267:61	29.479	49	seedling19	p35S:LUC	Pos1	yes	seedling4
7	Substack (1-122-2):0061-0329-0301:61	6.215	49	seedling20	p35S:LUC	Pos1	no	
8	Substack (1-122-2):0061-0370-0371:61	29.645	49	seedling21	p35S:LUC	Pos1	yes	seedling5
9	Substack (1-122-2):0061-0324-0400:61	6.493	49	seedling22	p35S:LUC	Pos1	no	
1	Substack (1-122-2):0061-0224-0221:61	23.78	48	seedling14	p35S:LUC	Pos1	yes	seedling1
2	Substack (1-122-2):0061-0179-0295:61	7.803	48	seedling15	p35S:LUC	Pos1	no	
3	Substack (1-122-2):0061-0177-0395:61	8.255	48	seedling16	p35S:LUC	Pos1	no	
4	Substack (1-122-2):0061-0336-0129:61	8.854	48	seedling17	p35S:LUC	Pos1	no	
5	Substack (1-122-2):0061-0381-0194:61	29.062	48	seedling18	p35S:LUC	Pos1	yes	seedling3
6	Substack (1-122-2):0061-0380-0267:61	28.509	48	seedling19	p35S:LUC	Pos1	yes	seedling4
7	Substack (1-122-2):0061-0329-0301:61	6.215	48	seedling20	p35S:LUC	Pos1	no	
8	Substack (1-122-2):0061-0370-0371:61	28.052	48	seedling21	p35S:LUC	Pos1	yes	seedling5
9	Substack (1-122-2):0061-0324-0400:61	6.493	48	seedling22	p35S:LUC	Pos1	no	
1	Substack (1-122-2):0061-0224-0221:61	23.113	47	seedling14	p35S:LUC	Pos1	yes	seedling1
