Position	Slice	MeanBack	...1	sample	Area	Mean	IntDen	Median	RawIntDen	length	seedling	genotype	RawIntDen_NormBack	root_length_mm	RawIntDen_NormBack_NormLen
Pos0	13	303.6995503455071	97	MMStack_Pos0.ome.tif:0061-0223-0091:13	883	310.453	274130	304	274130	109.848	seedling1	pNRT2.1:luc	5963.297044917243	34.3275	173.7177786007499
Pos0	13	303.6995503455071	98	MMStack_Pos0.ome.tif:0061-0210-0188:13	738	339.201	250330	305	250330	91.347	seedling2	pNRT2.1:luc	26199.731845015776	28.545937499999997	917.8094727144897
Pos0	13	303.6995503455071	99	MMStack_Pos0.ome.tif:0061-0389-0194:13	1128	331.762	374227	304	374227	139.719	seedling3	pNRT2.1:luc	31653.907210268022	43.662187499999995	724.9730034773917
Pos0	13	303.6995503455071	100	MMStack_Pos0.ome.tif:0061-0387-0232:13	1130	328.179	370842	304	370842	140.119	seedling4	pNRT2.1:luc	27661.508109577	43.787187499999995	631.7260753405777
Pos0	13	303.6995503455071	101	MMStack_Pos0.ome.tif:0061-0362-0335:13	780	320.788	250215	304	250215	96.425	seedling5	pNRT2.1:luc	13329.350730504491	30.132812499999996	442.353355847699
Pos0	14	302.6352329992254	105	MMStack_Pos0.ome.tif:0061-0223-0091:14	883	311.4	274966	303	274966	109.848	seedling1	pNRT2.1:luc	7739.089261683926	34.3275	225.44867123105166
Pos0	14	302.6352329992254	106	MMStack_Pos0.ome.tif:0061-0210-0188:14	738	335.64	247702	304	247702	91.347	seedling2	pNRT2.1:luc	24357.198046571633	28.545937499999997	853.2632023933926
Pos0	14	302.6352329992254	107	MMStack_Pos0.ome.tif:0061-0389-0194:14	1128	337.561	380769	303	380769	139.719	seedling3	pNRT2.1:luc	39396.45717687375	43.662187499999995	902.3014977633394
Pos0	14	302.6352329992254	108	MMStack_Pos0.ome.tif:0061-0387-0232:14	1130	323.417	365461	303	365461	140.119	seedling4	pNRT2.1:luc	23483.18671087525	43.787187499999995	536.3026960997495
Pos0	14	302.6352329992254	109	MMStack_Pos0.ome.tif:0061-0362-0335:14	780	322.358	251439	303	251439	96.425	seedling5	pNRT2.1:luc	15383.518260604178	30.132812499999996	510.5238105671079
Pos0	15	302.1638338958777	113	MMStack_Pos0.ome.tif:0061-0223-0091:15	883	305.814	270034	302	270034	109.848	seedling1	pNRT2.1:luc	3223.334669939999	34.3275	93.89948787240547
Pos0	15	302.1638338958777	114	MMStack_Pos0.ome.tif:0061-0210-0188:15	738	325.233	240022	303	240022	91.347	seedling2	pNRT2.1:luc	17025.090584842255	28.545937499999997	596.4102802664041
Pos0	15	302.1638338958777	115	MMStack_Pos0.ome.tif:0061-0389-0194:15	1128	322.551	363837	303	363837	139.719	seedling3	pNRT2.1:luc	22996.195365449938	43.662187499999995	526.6844535778228
Pos0	15	302.1638338958777	116	MMStack_Pos0.ome.tif:0061-0387-0232:15	1130	316.935	358137	302	358137	140.119	seedling4	pNRT2.1:luc	16691.867697658192	43.787187499999995	381.2043807942265
Pos0	15	302.1638338958777	117	MMStack_Pos0.ome.tif:0061-0362-0335:15	780	314.449	245270	303	245270	96.425	seedling5	pNRT2.1:luc	9582.209561215393	30.132812499999996	317.99917651946345
Pos0	16	302.4469037096624	121	MMStack_Pos0.ome.tif:0061-0223-0091:16	883	303.178	267706	302	267706	109.848	seedling1	pNRT2.1:luc	645.3840243680752	34.3275	18.800787251273036
Pos0	16	302.4469037096624	122	MMStack_Pos0.ome.tif:0061-0210-0188:16	738	309.927	228726	303	228726	91.347	seedling2	pNRT2.1:luc	5520.185062269127	28.545937499999997	193.3790075126847
Pos0	16	302.4469037096624	123	MMStack_Pos0.ome.tif:0061-0389-0194:16	1128	318.074	358787	303	358787	139.719	seedling3	pNRT2.1:luc	17626.89261550078	43.662187499999995	403.7107077033367
Pos0	16	302.4469037096624	124	MMStack_Pos0.ome.tif:0061-0387-0232:16	1130	308.51	348616	303	348616	140.119	seedling4	pNRT2.1:luc	6850.998808081436	43.787187499999995	156.46126639399796
Pos0	16	302.4469037096624	125	MMStack_Pos0.ome.tif:0061-0362-0335:16	780	305.409	238219	303	238219	96.425	seedling5	pNRT2.1:luc	2310.4151064633043	30.132812499999996	76.67439295496577
Pos0	17	301.7338958931481	129	MMStack_Pos0.ome.tif:0061-0223-0091:17	883	303.291	267806	302	267806	109.848	seedling1	pNRT2.1:luc	1374.9699263502262	34.3275	40.05447312942178
Pos0	17	301.7338958931481	130	MMStack_Pos0.ome.tif:0061-0210-0188:17	738	307.148	226675	302	226675	91.347	seedling2	pNRT2.1:luc	3995.384830856725	28.545937499999997	139.9633426247334
Pos0	17	301.7338958931481	131	MMStack_Pos0.ome.tif:0061-0389-0194:17	1128	320.177	361160	302	361160	139.719	seedling3	pNRT2.1:luc	20804.165432528942	43.662187499999995	476.48014503462394
Pos0	17	301.7338958931481	132	MMStack_Pos0.ome.tif:0061-0387-0232:17	1130	311.536	352036	302	352036	140.119	seedling4	pNRT2.1:luc	11076.697640742641	43.787187499999995	252.96663871692243
Pos0	17	301.7338958931481	133	MMStack_Pos0.ome.tif:0061-0362-0335:17	780	304.781	237729	302	237729	96.425	seedling5	pNRT2.1:luc	2376.5612033444922	30.132812499999996	78.86954473116283
Pos0	18	302.5758436878362	137	MMStack_Pos0.ome.tif:0061-0223-0091:18	883	304.156	268570	303	268570	109.848	seedling1	pNRT2.1:luc	1395.530023640662	34.3275	40.65341267615358
Pos0	18	302.5758436878362	138	MMStack_Pos0.ome.tif:0061-0210-0188:18	738	305.863	225727	303	225727	91.347	seedling2	pNRT2.1:luc	2426.0273583768867	28.545937499999997	84.98678168747784
Pos0	18	302.5758436878362	139	MMStack_Pos0.ome.tif:0061-0389-0194:18	1128	313.254	353351	303	353351	139.719	seedling3	pNRT2.1:luc	12045.448320120748	43.662187499999995	275.8782601105533
Pos0	18	302.5758436878362	140	MMStack_Pos0.ome.tif:0061-0387-0232:18	1130	311.875	352419	303	352419	140.119	seedling4	pNRT2.1:luc	10508.29663274507	43.787187499999995	239.9856495177972
Pos0	18	302.5758436878362	141	MMStack_Pos0.ome.tif:0061-0362-0335:18	780	305.108	237984	303	237984	96.425	seedling5	pNRT2.1:luc	1974.8419234877802	30.132812499999996	65.53792227286385
Pos0	19	302.60554685944135	145	MMStack_Pos0.ome.tif:0061-0223-0091:19	883	303.94	268379	303	268379	109.848	seedling1	pNRT2.1:luc	1178.3021231133025	34.3275	34.32531128434353
Pos0	19	302.60554685944135	146	MMStack_Pos0.ome.tif:0061-0210-0188:19	738	305.806	225685	303	225685	91.347	seedling2	pNRT2.1:luc	2362.106417732284	28.545937499999997	82.74755095124426
Pos0	19	302.60554685944135	147	MMStack_Pos0.ome.tif:0061-0389-0194:19	1128	317.041	357622	303	357622	139.719	seedling3	pNRT2.1:luc	16282.943142550183	43.662187499999995	372.93008149328716
Pos0	19	302.60554685944135	148	MMStack_Pos0.ome.tif:0061-0387-0232:19	1130	312.634	353276	303	353276	140.119	seedling4	pNRT2.1:luc	11331.732048831298	43.787187499999995	258.7910458700116
Pos0	19	302.60554685944135	149	MMStack_Pos0.ome.tif:0061-0362-0335:19	780	306.024	238699	303	238699	96.425	seedling5	pNRT2.1:luc	2666.6734496357385	30.132812499999996	88.49732993346501
Pos0	20	302.9570202973175	153	MMStack_Pos0.ome.tif:0061-0223-0091:20	883	306.47	270613	303	270613	109.848	seedling1	pNRT2.1:luc	3101.951077468635	34.3275	90.36344264710903
Pos0	20	302.9570202973175	154	MMStack_Pos0.ome.tif:0061-0210-0188:20	738	311.389	229805	304	229805	91.347	seedling2	pNRT2.1:luc	6222.71902057968	28.545937499999997	217.98965336414963
Pos0	20	302.9570202973175	155	MMStack_Pos0.ome.tif:0061-0389-0194:20	1128	329.505	371682	304	371682	139.719	seedling3	pNRT2.1:luc	29946.481104625855	43.662187499999995	685.8676309936569
Pos0	20	302.9570202973175	156	MMStack_Pos0.ome.tif:0061-0387-0232:20	1130	321.769	363599	304	363599	140.119	seedling4	pNRT2.1:luc	21257.567064031202	43.787187499999995	485.4745937731489
Pos0	20	302.9570202973175	157	MMStack_Pos0.ome.tif:0061-0362-0335:20	780	309.523	241428	304	241428	96.425	seedling5	pNRT2.1:luc	5121.52416809235	30.132812499999996	169.96502294939614
Pos0	21	302.62737838466256	161	MMStack_Pos0.ome.tif:0061-0223-0091:21	883	304.856	269188	303	269188	109.848	seedling1	pNRT2.1:luc	1968.0248863429297	34.3275	57.33085387351044
Pos0	21	302.62737838466256	162	MMStack_Pos0.ome.tif:0061-0210-0188:21	738	306.539	226226	303	226226	91.347	seedling2	pNRT2.1:luc	2886.9947521190334	28.545937499999997	101.13504774958025
Pos0	21	302.62737838466256	163	MMStack_Pos0.ome.tif:0061-0389-0194:21	1128	326.698	368515	303	368515	139.719	seedling3	pNRT2.1:luc	27151.31718210061	43.662187499999995	621.8496767277319
Pos0	21	302.62737838466256	164	MMStack_Pos0.ome.tif:0061-0387-0232:21	1130	321.584	363390	303	363390	140.119	seedling4	pNRT2.1:luc	21421.06242533133	43.787187499999995	489.20845681927693
Pos0	21	302.62737838466256	165	MMStack_Pos0.ome.tif:0061-0362-0335:21	780	308.971	240997	303	240997	96.425	seedling5	pNRT2.1:luc	4947.644859963213	30.132812499999996	164.19459218960108
