gene	A1	A10	A11	A12	A13	A14	A15	A16	A17	A18	A19	A2	A20	A21	A22	A23	A24	A3	A4	A5	A6	A7	A8	A9	effect.size	p.value	q.value	Mean	CV2	TechNoise	BioVar	NRT21	cluster_6_pearson	cluster_6_pearson_color
AT1G02850	-0.011900034301317487	-0.2117766382995171	-1.2329106134198886	0.4586199939296401	-0.7728192920925264	1.043344237773633	0.30496438706134904	-1.3112599040214155	-1.1085801075536017	0.20128788007151635	0.7092634247617939	0.8841181378151632	-1.7826753645503617	0.16089336985834984	-0.6571865581859564	1.0166495994430478	0.12302387202922725	-0.29395851275054696	1.445954552038849	0.730859035851063	1.5933013252985266	-0.8496045286024348	-1.7063033696741903	1.2666951075196005	0.07826089007976708	3.4697800188610017e-12	2.425506894356099e-10	67.2087175129442	0.08768079594323921	0.009419905863472132	3.218476347115435	NA	3	#BEBADA
AT1G02920	0.19937017074785646	2.6403866761423465	-1.3776392042480878	-0.3099566107553127	-0.16288345644766702	-0.3138938167652812	-0.9712627043794695	-0.49648743434022785	-0.8625871007437406	0.16889264625639608	0.10242119155159028	-0.1936747670487989	-1.0003199832223166	-0.5073522798911234	0.8644209360772948	-0.21217719938356128	-0.6252762666820895	1.1505441609934648	2.7281767231607916	0.3932547779713087	-0.08821181327875358	-0.2764557320936862	-0.26388007987323303	-0.5854088337477009	0.19156863028398	0	0	77.46963418979601	0.20076898013542485	0.009200349851444849	4.447703850332913	NA	2	#FFFFB3
AT1G02930	0.5672550412190615	2.849167661700391	-1.2310986277895875	-0.41196206551466025	-0.1512741603921087	-0.5868164619513426	-0.9950771494341074	-0.5433489537491892	-0.6832621524150904	0.3830829256137741	0.1758633130009809	-0.08894070422996715	-0.9182885573558178	-0.30670502799311605	1.1046752009649672	-0.5951937449985507	-0.7742934349558407	1.0492151613407383	2.392197754023123	0.1839648094458109	-0.2255937423775044	-0.4460860436340788	-0.18387640584027548	-0.5636046346776102	0.26936125483401474	0	0	86.45655681974651	0.278412119605443	0.009050864771428233	4.943022562408355	NA	2	#FFFFB3
AT1G02950	-0.9883603965565262	-0.6594184423770536	-0.8033170868516045	2.1285101777553552	-0.6874380040301585	-0.6538513271096397	2.193205014671226	0.6575083603245823	0.008562562294362502	2.0164279843300856	-0.7547481870548362	-0.7104930543280594	-0.1688706275020122	0.6139960081864815	0.19877436383370786	-1.4133731268230738	-0.009958981317606575	-0.1594835305828522	0.5827531527643224	-0.7389488944387443	-0.9793227122987698	-0.5993274099210015	0.3464069889788603	0.5807671680529488	0.021647240760252963	0.0921410867328345	0.9999999999999509	10.563181607641761	0.03995632500593755	0.018309084245684587	1.1258642624155057	NA	3	#BEBADA
AT1G03090	0.18274826006134717	-0.0935548400239554	-1.8367680536984141	-0.9326652473997598	-0.7178789868209208	0.06809461433324705	0.013635630717801201	0.12170086768350427	-0.0553317141045252	0.33410115900404425	1.040465936737319	-0.5029679500121589	1.8278281334678221	-0.5832224615357543	0.39699754471814835	2.022647018322107	2.4433222798354906	0.16186116217246124	-0.8845996693977227	-0.20017994384192536	-0.6159749704135565	-0.7058429941907078	-0.7671643400125093	-0.7172514356013772	0.0514728965004425	8.344463309217787e-7	3.574639705310296e-5	55.87576201131086	0.06122901219049158	0.009756115690049083	2.6498366371106994	NA	4	#FB8072
AT1G03400	-0.16693176343794558	1.2369667896634475	-1.1747450750821629	-0.6834862445440678	1.1996344048569705	-0.26379407439411173	-1.5274674341152419	-0.7636306372729448	0.39589476048684263	0.8821753644712176	0.0066496169475920444	-0.8544996856632835	-0.32203329496363353	-0.24574047118420508	1.7373944503786012	-0.5230985169241622	-0.34108853000893075	1.7689344660570159	1.6988492279055964	0.2921359069149132	-1.435566727507928	0.5229885128275303	-0.23965959075138882	-1.1998814546597196	0.06233964526100319	4.168489970868272e-6	1.6121056005392645e-4	11.340103718227242	0.07992615606598913	0.017586510804985935	2.1841984286123495	NA	2	#FFFFB3
AT1G03440	-0.04176174799217604	-1.784524397062775	-0.8372632126135077	-1.0929890064418701	-1.0714942608684837	0.1790217485680226	0.032560391307644036	-0.8200754560871778	0.8916642448118536	0.04633110934445244	-0.009473788547445261	0.3418332885318315	0.4271708997412125	0.6059246935947137	-1.626157660455529	-0.04260269754641356	-0.11134319887732345	0.8151192638051483	-0.6536258134052911	0.5822172974203758	-0.6862858452741537	1.5930621142266819	0.5873270517780239	2.675364982042195	0.021796829229572868	0.0866568556614069	0.9999999999999509	11.08333534938163	0.03961093901267117	0.0178141097830983	1.1528785119325107	NA	1	#8DD3C7
AT1G03610	-1.0478449003546257	-0.6126691270298417	-1.2405120295719203	-0.45703712325312695	-0.09461574858710699	0.2025753487418728	0.7177285097770938	0.3315065803057731	0.5761032088526896	1.1563924505351717	0.6949198261359413	-1.0128967727483003	1.12159659611702	1.282752095308666	0.22087708658478009	1.8268786372575072	2.145708791870896	-0.9697562833199572	-1.059907555054126	-0.8631069124675462	-0.7355937475787707	-0.7459557108596775	-0.9343022898461856	-0.5028409308162229	0.09853220304115742	1.709743457922741e-14	1.421128554801753e-12	28.42377370936405	0.11021400217049243	0.011681799129335004	3.2379731353572327	NA	4	#FB8072
AT1G03820	0.11235184118255562	-0.7867218788505409	2.5456287494110783	2.483930206421004	1.0827648871972495	-0.9678848494929749	-0.8346138507722087	0.6611846808668489	-0.459414977994507	-1.082661173831042	0.3025202980589137	-0.4402496997921897	-0.016588978886305228	0.814210782291746	0.40848248739020276	-0.6191382386395409	0.15991118698487986	-0.4064551352663802	-1.6415466835659678	-0.17934586123895116	-0.38082242073841377	0.036587841980315707	-0.06765351156486211	-0.7244757011509046	0.05927554073033689	2.7637887338727296e-6	1.0922930744333191e-4	14.82124945166927	0.07455457843151882	0.015279037701181927	2.2867432688677747	NA	5	#80B1D3
AT1G03850	-0.9021996359095463	-0.18712559577438276	-1.363213206075925	0.3579503106635016	0.31333366754399267	1.6686532877458735	-0.4153351594888085	-0.5990792078269794	0.3422780380568256	0.07805365887183126	0.039463008646135195	-0.8609540004482696	-0.23527962405899644	0.43966178551495516	2.406182302781818	2.2577200622941547	0.31980908293268967	-0.37878029401486557	-0.6305189603520751	-1.6967938694077167	-0.28356663692725403	-1.0355632464284228	0.12390914462087757	0.24139508704057688	0.019223104431258974	0.09848841800480379	0.9999999999999509	20.682423444324414	0.03237197020102673	0.013148865769767756	1.2998068155368643	NA	4	#FB8072
AT1G04030	0.8525119011311361	0.19745914704540657	2.0861301396902996	1.6281444513235037	0.27798874808688423	-0.888877520656052	2.1220409068160255	-0.3777017156299288	0.4014377831794983	-0.2902316059498136	-0.9034321565873731	-0.7251923094645432	0.11989472915859506	0.12354708515546885	-0.49240077996646464	-0.5560547627165645	-1.1051005086959143	-0.7225601965910361	-1.8705547234251667	-0.9025813821960443	-0.06633854422949097	-0.39473659305005654	0.4061239215380744	1.0804839860335642	0.009603447090390384	0.4932079325229961	0.9999999999999509	78.14534391905862	0.01879136205474125	0.009187914964350865	1.0322602319340715	NA	1	#8DD3C7
