number	plate_info	area	mean	IntDen	median	RawIntDen	length	seedling	genotype	KNO3	plate
1	line44_1mM_plate3_luc.tif:0186-0259	1641	1343.402	2204523	1129	2204523	203.911	seedling17	line44	1mM	plate3
2	line44_1mM_plate3_luc.tif:0187-0312	1651	1331.215	2197836	1125	2197836	205.602	seedling18	line44	1mM	plate3
3	line44_1mM_plate3_luc.tif:0201-0365	1876	1464.491	2747385	1150	2747385	233.938	seedling19	line44	1mM	plate3
4	line44_1mM_plate3_luc.tif:0177-0513	1709	1434.989	2452396	1181	2452396	212.888	seedling20	line44	1mM	plate3
5	line44_1mM_plate3_luc.tif:0173-0558	1665	1388.133	2311241	1162	2311241	207.327	seedling21	line44	1mM	plate3
6	line44_1mM_plate3_luc.tif:0183-0624	1681	1285.573	2161049	1144	2161049	208.745	seedling22	line44	1mM	plate3
7	line44_1mM_plate3_luc.tif:0186-0218	1557	1042.955	1623881	1043	1623881	193.382	background	line44	1mM	plate3
8	line44_1mM_plate3_luc.tif:0192-0402	1703	1047.875	1784531	1049	1784531	211.887	background	line44	1mM	plate3
9	line44_1mM_plate3_luc.tif:0192-0653	1628	1039.605	1692477	1040	1692477	201.316	background	line44	1mM	plate3
1	line44_1mM_plate4_luc.tif:0180-0192	1569	1397.082	2192021	1148	2192021	194.903	seedling23	line44	1mM	plate4
2	line44_1mM_plate4_luc.tif:0198-0247	1753	1397.531	2449872	1154	2449872	218.045	seedling24	line44	1mM	plate4
3	line44_1mM_plate4_luc.tif:0194-0296	1677	1410.509	2365423	1158	2365423	208.782	seedling25	line44	1mM	plate4
4	line44_1mM_plate4_luc.tif:0194-0346	1636	1371.704	2244107	1136	2244107	203.188	seedling26	line44	1mM	plate4
5	line44_1mM_plate4_luc.tif:0196-0417	1690	1342.027	2268025	1131	2268025	209.587	seedling27	line44	1mM	plate4
6	line44_1mM_plate4_luc.tif:0177-0446	1524	1299.863	1980991	1119	1980991	189.197	seedling28	line44	1mM	plate4
7	line44_1mM_plate4_luc.tif:0179-0511	1603	1230.278	1972135	1110	1972135	199.575	seedling29	line44	1mM	plate4
8	line44_1mM_plate4_luc.tif:0192-0548	1830	1394.143	2551282	1169	2551282	228.486	seedling30	line44	1mM	plate4
9	line44_1mM_plate4_luc.tif:0185-0219	1462	1050.46	1535772	1050	1535772	181.539	background	line44	1mM	plate4
10	line44_1mM_plate4_luc.tif:0225-0370	1442	1045.374	1507429	1046	1507429	178.988	background	line44	1mM	plate4
11	line44_1mM_plate4_luc.tif:0182-0479	1571	1045.756	1642882	1045	1642882	195.045	background	line44	1mM	plate4
1	line47_1mM_plate1_luc.tif:0193-0154	1633	1416.302	2312821	1134	2312821	203.347	seedling1	line47	1mM	plate1
2	line47_1mM_plate1_luc.tif:0182-0203	1480	1366.636	2022622	1130	2022622	184.415	seedling2	line47	1mM	plate1
3	line47_1mM_plate1_luc.tif:0192-0255	1607	1438.435	2311565	1154	2311565	199.517	seedling3	line47	1mM	plate1
4	line47_1mM_plate1_luc.tif:0192-0316	1629	1450.044	2362121	1153	2362121	202.663	seedling4	line47	1mM	plate1
5	line47_1mM_plate1_luc.tif:0204-0353	1707	1470.783	2510627	1151	2510627	212.769	seedling5	line47	1mM	plate1
6	line47_1mM_plate1_luc.tif:0211-0428	1763	1490.458	2627677	1162	2627677	219.794	seedling6	line47	1mM	plate1
7	line47_1mM_plate1_luc.tif:0197-0467	1653	1328.379	2195811	1133	2195811	206.066	seedling7	line47	1mM	plate1
8	line47_1mM_plate1_luc.tif:0196-0527	1660	1527.005	2534828	1200	2534828	206.403	seedling8	line47	1mM	plate1
9	line47_1mM_plate1_luc.tif:0192-0182	1429	1050.796	1501587	1049	1501587	177.165	background	line47	1mM	plate1
