Primer	Name	Cp
LVG	WT_1mM_seedling2	22.28
HVG	WT_1mM_seedling2	20.33
HVG	WT_1mM_seedling2	20.44
HVG	WT_1mM_seedling2	20.47
NRT2.1	WT_1mM_seedling2	18.47
NRT2.1	WT_1mM_seedling2	18.55
NRT2.1	WT_1mM_seedling2	18.49
NRT1.1	WT_1mM_seedling2	20.89
NRT1.1	WT_1mM_seedling2	20.95
NRT1.1	WT_1mM_seedling2	20.88
TGA1	WT_1mM_seedling2	23.13
TGA1	WT_1mM_seedling2	23.06
TGA1	WT_1mM_seedling2	23.07
PP2C	WT_1mM_seedling2	24.22
PP2C	WT_1mM_seedling2	24.19
PP2C	WT_1mM_seedling2	24.18
UBQ10	WT_1mM_seedling10	18.15
UBQ10	WT_1mM_seedling10	18.16
UBQ10	WT_1mM_seedling10	18.21
ACT2	WT_1mM_seedling10	19.88
ACT2	WT_1mM_seedling10	19.9
ACT2	WT_1mM_seedling10	19.92
LVG	WT_1mM_seedling10	22.08
LVG	WT_1mM_seedling10	22.04
LVG	WT_1mM_seedling10	22.14
HVG	WT_1mM_seedling10	20.32
HVG	WT_1mM_seedling10	20.42
HVG	WT_1mM_seedling10	20.34
NRT2.1	WT_1mM_seedling10	18.42
NRT2.1	WT_1mM_seedling10	18.43
NRT2.1	WT_1mM_seedling10	18.44
NRT1.1	WT_1mM_seedling10	20.95
NRT1.1	WT_1mM_seedling10	20.95
NRT1.1	WT_1mM_seedling10	20.89
TGA1	WT_1mM_seedling10	23
TGA1	WT_1mM_seedling10	23.02
TGA1	WT_1mM_seedling10	23.06
PP2C	WT_1mM_seedling10	24.05
PP2C	WT_1mM_seedling10	24.2
PP2C	WT_1mM_seedling10	24.22
UBQ10	WT_1mM_seedling3	18.31
UBQ10	WT_1mM_seedling3	18.44
UBQ10	WT_1mM_seedling3	18.47
ACT2	WT_1mM_seedling3	19.89
ACT2	WT_1mM_seedling3	19.89
ACT2	WT_1mM_seedling3	19.87
LVG	WT_1mM_seedling3	22.23
LVG	WT_1mM_seedling3	22.15
LVG	WT_1mM_seedling3	22.19
HVG	WT_1mM_seedling3	20.33
HVG	WT_1mM_seedling3	20.52
HVG	WT_1mM_seedling3	20.45
NRT2.1	WT_1mM_seedling3	18.66
NRT2.1	WT_1mM_seedling3	18.69
NRT2.1	WT_1mM_seedling3	18.7
NRT1.1	WT_1mM_seedling3	20.88
NRT1.1	WT_1mM_seedling3	20.89
NRT1.1	WT_1mM_seedling3	20.94
TGA1	WT_1mM_seedling3	22.97
TGA1	WT_1mM_seedling3	22.93
TGA1	WT_1mM_seedling3	22.94
PP2C	WT_1mM_seedling3	24.14
PP2C	WT_1mM_seedling3	24.05
PP2C	WT_1mM_seedling3	24.13
UBQ10	WT_1mM_seedling11	18.24
UBQ10	WT_1mM_seedling11	18.23
UBQ10	WT_1mM_seedling11	18.24
ACT2	WT_1mM_seedling11	20.48
ACT2	WT_1mM_seedling11	20.52
ACT2	WT_1mM_seedling11	20.53
LVG	WT_1mM_seedling11	22.44
LVG	WT_1mM_seedling11	22.41
LVG	WT_1mM_seedling11	22.51
HVG	WT_1mM_seedling11	21
HVG	WT_1mM_seedling11	21.06
HVG	WT_1mM_seedling11	21.05
NRT2.1	WT_1mM_seedling11	19.24
NRT2.1	WT_1mM_seedling11	19.22
NRT2.1	WT_1mM_seedling11	19.21
NRT1.1	WT_1mM_seedling11	21.03
NRT1.1	WT_1mM_seedling11	21.03
NRT1.1	WT_1mM_seedling11	21.03
TGA1	WT_1mM_seedling11	23.2
TGA1	WT_1mM_seedling11	23.21
TGA1	WT_1mM_seedling11	23.24
PP2C	WT_1mM_seedling11	25.29
PP2C	WT_1mM_seedling11	25.5
PP2C	WT_1mM_seedling11	25.48
UBQ10	WT_1mM_seedling4	18.34
UBQ10	WT_1mM_seedling4	18.46
UBQ10	WT_1mM_seedling4	18.51
ACT2	WT_1mM_seedling4	19.93
ACT2	WT_1mM_seedling4	19.95
