number	plate_info	area	mean	IntDen	median	RawIntDen	slice	length	seedling	genotype	KNO3	plate
2	plate3-1mM-35sluc_luc_120s.tif:0229-0111	1379	357.349	492784.201	318.718	492784.201	1	195.995	seedling17	35s:luc	1mM	plate3
3	plate3-1mM-35sluc_luc_120s.tif:0223-0158	1372	364.529	500134.421	325.509	500134.421	1	194.987	seedling18	35s:luc	1mM	plate3
4	plate3-1mM-35sluc_luc_120s.tif:0227-0230	1344	365.927	491806.416	322.662	491806.416	1	190.994	seedling19	35s:luc	1mM	plate3
5	plate3-1mM-35sluc_luc_120s.tif:0233-0284	1400	367.977	515167.531	325.349	515167.531	1	198.992	seedling20	35s:luc	1mM	plate3
6	plate3-1mM-35sluc_luc_120s.tif:0234-0350	1470	369.326	542909.59	328.664	542909.59	1	208.984	seedling21	35s:luc	1mM	plate3
7	plate3-1mM-35sluc_luc_120s.tif:0237-0405	1512	356.548	539101.09	323.288	539101.09	1	214.987	seedling22	35s:luc	1mM	plate3
8	plate3-1mM-35sluc_luc_120s.tif:0230-0453	1470	356.873	524602.685	322.052	524602.685	1	208.988	seedling23	35s:luc	1mM	plate3
9	plate3-1mM-35sluc_luc_120s.tif:0224-0199	1421	288.335	409723.525	288.314	409723.525	1	202	background	35s:luc	1mM	plate3
10	plate3-1mM-35sluc_luc_120s.tif:0095-0145	1414	286.362	404916.574	286.389	404916.574	1	201	background	35s:luc	1mM	plate3
11	plate3-1mM-35sluc_luc_120s.tif:0366-0327	1449	288.268	417701.039	288.244	417701.039	1	206	background	35s:luc	1mM	plate3
1	plate4-1mM-35sluc_luc_120s-1.tif:0231-0044	1561	352.414	550118.943	316.966	550118.943	1	221.982	seedling24	35s:luc	1mM	plate4
2	plate4-1mM-35sluc_luc_120s-1.tif:0187-0108	1008	339.219	341932.354	307.65	341932.354	1	142.999	seedling25	35s:luc	1mM	plate4
3	plate4-1mM-35sluc_luc_120s-1.tif:0206-0163	1330	363.899	483985.844	320.361	483985.844	1	188.979	seedling26	35s:luc	1mM	plate4
4	plate4-1mM-35sluc_luc_120s-1.tif:0196-0225	1323	378.172	500321.321	327.065	500321.321	1	187.995	seedling27	35s:luc	1mM	plate4
5	plate4-1mM-35sluc_luc_120s-1.tif:0191-0283	1218	371.789	452838.722	322.418	452838.722	1	172.998	seedling28	35s:luc	1mM	plate4
6	plate4-1mM-35sluc_luc_120s-1.tif:0183-0340	1155	359.669	415418.017	320.184	415418.017	1	163.999	seedling29	35s:luc	1mM	plate4
7	plate4-1mM-35sluc_luc_120s-1.tif:0189-0406	1274	359.616	458151.034	319.964	458151.034	1	180.991	seedling30	35s:luc	1mM	plate4
8	plate4-1mM-35sluc_luc_120s-1.tif:0189-0446	1253	359.903	450958.297	317.013	450958.297	1	177.989	seedling31	35s:luc	1mM	plate4
9	plate4-1mM-35sluc_luc_120s-1.tif:0221-0143	1477	287.682	424905.655	287.698	424905.655	1	210	background	35s:luc	1mM	plate4
10	plate4-1mM-35sluc_luc_120s-1.tif:0059-0289	1456	286.216	416730.067	286.218	416730.067	1	207	background	35s:luc	1mM	plate4
11	plate4-1mM-35sluc_luc_120s-1.tif:0330-0185	1337	287.311	384134.681	287.319	384134.681	1	190	background	35s:luc	1mM	plate4
1	plate1-10mM-35sluc_luc_120s.tif:0224-0070	1624	362.079	588016.502	320.147	588016.502	1	230.982	seedling1	35s:luc	10mM	plate1
2	plate1-10mM-35sluc_luc_120s.tif:0210-0112	1428	373.666	533595.693	322.926	533595.693	1	202.989	seedling2	35s:luc	10mM	plate1
3	plate1-10mM-35sluc_luc_120s.tif:0211-0161	1442	373.841	539078.816	327.029	539078.816	1	204.977	seedling3	35s:luc	10mM	plate1
4	plate1-10mM-35sluc_luc_120s.tif:0223-0231	1631	388.404	633487.609	339.606	633487.609	1	231.971	seedling4	35s:luc	10mM	plate1
5	plate1-10mM-35sluc_luc_120s.tif:0208-0296	1442	380.407	548547.505	331.752	548547.505	1	204.959	seedling5	35s:luc	10mM	plate1
6	plate1-10mM-35sluc_luc_120s.tif:0209-0339	1421	377.209	536014.153	332.319	536014.153	1	201.989	seedling6	35s:luc	10mM	plate1
7	plate1-10mM-35sluc_luc_120s.tif:0222-0398	1540	375.726	578618.227	328.453	578618.227	1	218.982	seedling7	35s:luc	10mM	plate1
8	plate1-10mM-35sluc_luc_120s.tif:0210-0452	1470	362.303	532585.174	322.626	532585.174	1	208.978	seedling8	35s:luc	10mM	plate1
9	plate1-10mM-35sluc_luc_120s.tif:0217-0269	1610	289.051	465372.74	289.046	465372.74	1	229	background	35s:luc	10mM	plate1
10	plate1-10mM-35sluc_luc_120s.tif:0067-0151	1309	286.598	375156.513	286.595	375156.513	1	186	background	35s:luc	10mM	plate1
11	plate1-10mM-35sluc_luc_120s.tif:0355-0374	1400	288.487	403882.025	288.466	403882.025	1	198.999	background	35s:luc	10mM	plate1
1	plate2-10mM-35sluc_luc_120s.tif:0226-0050	1358	346.821	470982.591	310.586	470982.591	1	192.982	seedling9	35s:luc	10mM	plate2
2	plate2-10mM-35sluc_luc_120s.tif:0230-0251	1491	341.583	509300.305	331.439	509300.305	1	211.983	seedling10	35s:luc	10mM	plate2
3	plate2-10mM-35sluc_luc_120s.tif:0224-0301	1414	379.739	536950.799	326.334	536950.799	1	200.986	seedling11	35s:luc	10mM	plate2
4	plate2-10mM-35sluc_luc_120s.tif:0232-0337	1386	375.122	519919.431	322.983	519919.431	1	196.989	seedling12	35s:luc	10mM	plate2
