number	plate_info	area	mean	IntDen	median	RawIntDen	length	seedling	genotype	KNO3	plate
4	line64_1mM_plate1_luc.tif:0172-0300	1551	1448.873	2247202	1145	2247202	193.015	seedling4	line64	1mM	plate1
5	line64_1mM_plate1_luc.tif:0179-0360	1598	1360.562	2174178	1124	2174178	198.849	seedling5	line64	1mM	plate1
6	line64_1mM_plate1_luc.tif:0169-0411	1465	1427.174	2090810	1139	2090810	182.212	seedling6	line64	1mM	plate1
7	line64_1mM_plate1_luc.tif:0165-0470	1429	1332.771	1904530	1126	1904530	177.534	seedling7	line64	1mM	plate1
8	line64_1mM_plate1_luc.tif:0180-0509	1643	1545.086	2538577	1203	2538577	204.353	seedling8	line64	1mM	plate1
9	line64_1mM_plate1_luc.tif:0175-0179	1382	1045.66	1445102	1045	1445102	171.695	background	line64	1mM	plate1
10	line64_1mM_plate1_luc.tif:0170-0331	1391	1047.293	1456784	1048	1456784	172.851	background	line64	1mM	plate1
11	line64_1mM_plate1_luc.tif:0169-0444	1359	1045.522	1420865	1045	1420865	168.579	background	line64	1mM	plate1
1	line64_1mM_plate2_luc.tif:0169-0177	1420	1202.223	1707157	1081	1707157	176.719	seedling9	line64	1mM	plate2
2	line64_1mM_plate2_luc.tif:0178-0229	1424	1270.205	1808772	1099	1808772	177.234	seedling10	line64	1mM	plate2
3	line64_1mM_plate2_luc.tif:0190-0280	1677	1356.766	2275296	1123	2275296	208.451	seedling11	line64	1mM	plate2
4	line64_1mM_plate2_luc.tif:0190-0435	1459	1418.5	2069592	1131	2069592	181.701	seedling12	line64	1mM	plate2
5	line64_1mM_plate2_luc.tif:0210-0479	1738	1473.325	2560638	1168	2560638	215.952	seedling13	line64	1mM	plate2
6	line64_1mM_plate2_luc.tif:0202-0539	1427	1326.872	1893447	1118	1893447	177.26	seedling14	line64	1mM	plate2
7	line64_1mM_plate2_luc.tif:0179-0254	1382	1042.655	1440949	1042	1440949	171.827	background	line64	1mM	plate2
8	line64_1mM_plate2_luc.tif:0186-0404	1408	1043.423	1469139	1043	1469139	176.044	background	line64	1mM	plate2
9	line64_1mM_plate2_luc.tif:0208-0580	1171	1038.381	1215944	1038	1215944	146.248	background	line64	1mM	plate2
1	line64_1mM_plate3_luc.tif:0203-0180	1771	1393.575	2468022	1165	2468022	219.82	seedling15	line64	1mM	plate3
2	line64_1mM_plate3_luc.tif:0191-0230	1712	1440.291	2465778	1161	2465778	213.132	seedling16	line64	1mM	plate3
3	line64_1mM_plate3_luc.tif:0203-0293	1718	1454.311	2498506	1172	2498506	214.531	seedling17	line64	1mM	plate3
4	line64_1mM_plate3_luc.tif:0213-0351	1850	1412.226	2612618	1140	2612618	229.791	seedling18	line64	1mM	plate3
5	line64_1mM_plate3_luc.tif:0201-0394	1661	1460.276	2425518	1155	2425518	207.019	seedling19	line64	1mM	plate3
6	line64_1mM_plate3_luc.tif:0200-0448	1584	1419.494	2248479	1149	2248479	197.286	seedling20	line64	1mM	plate3
7	line64_1mM_plate3_luc.tif:0177-0491	1311	1191.933	1562624	1088	1562624	162.886	seedling21	line64	1mM	plate3
8	line64_1mM_plate3_luc.tif:0184-0554	1306	1442.609	1884048	1162	1884048	162.175	seedling22	line64	1mM	plate3
9	line64_1mM_plate3_luc.tif:0207-0202	1505	1056.591	1590169	1057	1590169	187.194	background	line64	1mM	plate3
10	line64_1mM_plate3_luc.tif:0202-0372	1500	1052.992	1579488	1053	1579488	186.692	background	line64	1mM	plate3
