gene	name	type
AT2G36700	CE8	cell_wall
AT2G36710	CE8	cell_wall
AT2G36750	GT1	cell_wall
AT2G36760	GT1	cell_wall
AT2G36770	GT1	cell_wall
AT2G36780	GT1	cell_wall
AT2G36790	GT1	cell_wall
AT2G36800	GT1	cell_wall
AT2G36850	CBM/GT48	cell_wall
AT2G36870	GH32	cell_wall
AT2G36970	GT1	cell_wall
AT2G37090	GT43	cell_wall
AT2G37130	AA	cell_wall
AT2G37585	GT/GT14	cell_wall
AT2G37640	CBM	cell_wall
AT2G37730	GT31	cell_wall
AT2G38150	GT32	cell_wall
AT2G38152	GT32	cell_wall
AT2G38380	AA	cell_wall
AT2G38390	AA	cell_wall
AT2G38650	GT/GT8	cell_wall
AT2G39040	AA	cell_wall
AT2G39220	GT	cell_wall
AT2G39630	GT2	cell_wall
AT2G39640	GH17	cell_wall
AT2G39700	CBM	cell_wall
AT2G39740	GH	cell_wall
AT2G39930	GH13	cell_wall
AT2G40190	GT4	cell_wall
AT2G40310	GH28	cell_wall
AT2G40610	CBM	cell_wall
AT2G40840	CBM/GH77	cell_wall
AT2G41150	GTnc	cell_wall
AT2G41451	GTnc	cell_wall
AT2G41480	AA	cell_wall
AT2G41530	CEnc	cell_wall
AT2G41640	GT61	cell_wall
AT2G41770	GTnc	cell_wall
AT2G41850	GH28	cell_wall
AT2G42930	CBM43	cell_wall
AT2G43050	CE8	cell_wall
AT2G43150	Ext	cell_wall
AT2G43350	AA	cell_wall
AT2G43480	AA	cell_wall
AT2G43570	GH19	cell_wall
AT2G43580	GH19	cell_wall
AT2G43590	GH19	cell_wall
AT2G43600	GH19	cell_wall
AT2G43610	GH19	cell_wall
AT2G43620	GH19	cell_wall
AT2G43660	CBM43	cell_wall
AT2G43670	CBM43	cell_wall
AT2G43690	AA	cell_wall
AT2G43700	AA	cell_wall
AT2G43820	GT1	cell_wall
AT2G43840	GT1	cell_wall
AT2G43860	GH28	cell_wall
AT2G43870	GH28	cell_wall
AT2G43880	GH28	cell_wall
AT2G43890	GH28	cell_wall
AT2G44450	GH1	cell_wall
AT2G44460	GH1	cell_wall
AT2G44470	CBM/GH1	cell_wall
AT2G44480	CBM/GH1	cell_wall
AT2G44490	CBM/GH1	cell_wall
AT2G44500	GTnc	cell_wall
AT2G44540	GH9	cell_wall
AT2G44550	GH9	cell_wall
AT2G44560	GH9	cell_wall
AT2G44570	GH9	cell_wall
AT2G44660	GT57	cell_wall
AT2G45110	CBM	cell_wall
AT2G45220	CE8	cell_wall
AT2G45470	GT	cell_wall
AT2G45830	GT/GT90	cell_wall
AT2G45840	GT90	cell_wall
AT2G45880	GH14	cell_wall
AT2G46330	GT	cell_wall
AT2G46480	GT8	cell_wall
AT2G46930	CE13	cell_wall
AT2G47030	CE8	cell_wall
AT2G47040	CE8	cell_wall
AT2G47050	CE	cell_wall
AT2G47180	GT8	cell_wall
AT2G47270	AA	cell_wall
AT2G47280	CE8	cell_wall
AT2G47340	CE	cell_wall
AT2G47550	CE8	cell_wall
AT2G47670	CE	cell_wall
AT2G47760	GT58	cell_wall
AT2G47930	GT	cell_wall
AT2G48150	AA	cell_wall
AT3G01040	GT8	cell_wall
AT3G01180	GT5	cell_wall
AT3G01190	AA	cell_wall
AT3G01270	PL1	cell_wall
AT3G01510	CBM48	cell_wall
AT3G01620	GT17	cell_wall
AT3G01700	GT	cell_wall
AT3G02100	GT1	cell_wall
AT3G02230	GT75	cell_wall
AT3G02250	GTnc	cell_wall
AT3G02350	GT8	cell_wall
AT3G03050	GT2	cell_wall
AT3G03220	CBM	cell_wall
AT3G03640	CBM/GH1	cell_wall
AT3G03650	GT47	cell_wall
AT3G03670	AA	cell_wall
AT3G03690	GT/GT14	cell_wall
AT3G03810	GTnc	cell_wall
AT3G04010	GH17	cell_wall
AT3G04240	GT41	cell_wall
AT3G04715	CE	cell_wall
AT3G04717	CE	cell_wall
AT3G04720	CBM18	cell_wall
AT3G05320	GTnc	cell_wall
AT3G05610	CE8	cell_wall
AT3G05620	CE8	cell_wall
AT3G05741	CE	cell_wall
AT3G05820	GH100	cell_wall
AT3G05910	CE13	cell_wall
AT3G05970	AA	cell_wall
AT3G06260	GT8	cell_wall
AT3G06360	GT	cell_wall
AT3G06440	GT31	cell_wall
AT3G06500	GH100	cell_wall
AT3G06510	CBM/GH1	cell_wall
AT3G06550	GT	cell_wall
AT3G06770	GH28	cell_wall
AT3G06830	CE8	cell_wall
AT3G07010	PL1	cell_wall
AT3G07020	GT1	cell_wall
AT3G07160	CBM/GT48	cell_wall
AT3G07320	GH17	cell_wall
AT3G07330	GT2	cell_wall
AT3G07380	GT92	cell_wall
AT3G07620	GT47	cell_wall
AT3G07820	GH28	cell_wall
AT3G07830	GH28	cell_wall
AT3G07840	GH28	cell_wall
AT3G07850	GH/GH28	cell_wall
AT3G07900	GTnc	cell_wall
AT3G07970	GH/GH28	cell_wall
AT3G08550	GTnc	cell_wall
AT3G08870	AA	cell_wall
AT3G08900	GT75	cell_wall
AT3G09020	GT32	cell_wall
AT3G09035	AA	cell_wall
AT3G09260	CBM/GH1	cell_wall
AT3G09405	CE	cell_wall
AT3G09410	CE13	cell_wall
AT3G09540	PL1	cell_wall
AT3G09640	AA	cell_wall
AT3G10320	GT61	cell_wall
AT3G10630	GT4	cell_wall
AT3G10700	CE	cell_wall
AT3G10710	CE8	cell_wall
AT3G10720	CE8	cell_wall
AT3G10740	GH/GH51	cell_wall
AT3G10890	GH5	cell_wall
AT3G10900	GH5	cell_wall
AT3G11040	GH85	cell_wall
AT3G11340	GT1	cell_wall
